CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	0.1%RVIS	0.1%RVIS%	EdgeCase	OEratio%tile
THAP9	THAP9	THAP9	THAP9	THAP9	0.624649618	83.53385232	N	57.58251024
LIN54	LIN54	LIN54	LIN54	LIN54	-0.53631094	20.53550366	N	41.1948928
COPS4	COPS4	COPS4	COPS4	COPS4	-0.163345027	41.24793583	Y	1.138279933
PLAC8	PLAC8	PLAC8	PLAC8	PLAC8	-0.031067188	51.03798066	Y	99.95784148
HPSE	HPSE	HPSE	HPSE	HPSE	0.022122107	55.69120075	N	46.57311491
HELQ	HELQ	HELQ	HELQ	HELQ	1.783955458	96.85656995	N	72.09106239
MRPS18C	MRPS18C	MRPS18C	MRPS18C	MRPS18C	0.169169615	65.33380514	Y	51.62611419
FAM175A	FAM175A	FAM175A	FAM175A	FAM175A	0.949904335	90.00943619	N	90.9419417
AGPAT9	AGPAT9	AGPAT9	AGPAT9	AGPAT9	-0.089927255	46.99221515	N	49.10262587
CDS1	CDS1	CDS1	CDS1	CDS1	0.483275131	79.25218212	N	32.3235365
WDFY3	WDFY3	WDFY3	WDFY3	WDFY3	-2.817477736	0.62514744	N	29.3363045
ARHGAP24	ARHGAP24	ARHGAP24	ARHGAP24	ARHGAP24	-0.617221851	17.44515216	N	69.02553602
MAPK10	MAPK10	MAPK10	MAPK10	MAPK10	-0.449946534	24.00330267	Y	24.33750903
SLC10A6	SLC10A6	SLC10A6	SLC10A6	SLC10A6	0.573279816	82.08303845	N	96.84413394
C4orf36	C4orf36	C4orf36	C4orf36	C4orf36	1.058333711	91.42486435	N	99.23512407
AFF1	AFF1	AFF1	AFF1	AFF1	-1.183251814	5.909412597	N	45.84437485
KLHL8	KLHL8	KLHL8	KLHL8	KLHL8	-0.690637458	15.12149092	N	30.23970128
HSD17B13	HSD17B13	HSD17B13	HSD17B13	HSD17B13	0.396906589	76.30927105	N	89.46037099
HSD17B11	HSD17B11	HSD17B11	HSD17B11	HSD17B11	0.170987912	65.5579146	Y	43.28475066
NUDT9	NUDT9	NUDT9	NUDT9	NUDT9	0.084621747	60.31493277	N	85.3649723
SPARCL1	SPARCL1	SPARCL1	SPARCL1	SPARCL1	0.512596355	80.29606039	N	80.16742954
DMP1	DMP1	DMP1	DMP1	DMP1	0.512596355	80.29606039	N	80.78173934
IBSP	IBSP	IBSP	IBSP	IBSP	1.350418743	94.35008257	N	90.73717177
MEPE	MEPE	MEPE	MEPE	MEPE	1.666397606	96.29039868	N	96.33823175
SPP1	SPP1	SPP1	SPP1	SPP1	-0.045835247	50.34206181	N	82.0043363
PKD2	PKD2	PKD2	PKD2	PKD2	-0.707227564	14.71455532	N	46.71163575
ABCG2	ABCG2	ABCG2	ABCG2	ABCG2	-0.198338176	39.17197452	N	62.14165261
PPM1K	PPM1K	PPM1K	PPM1K	PPM1K	-0.157884861	42.05590941	N	83.20886533
HERC5	HERC5	HERC5	HERC5	HERC5	-0.817464788	11.97806086	N	50.09636232
NAP1L5	NAP1L5	NAP1L5	NAP1L5	NAP1L5	-0.317668748	31.45789101	Y	78.34256806
TIGD2	TIGD2	TIGD2	TIGD2	TIGD2	-0.135838822	43.77211607	N	36.87665623
SNCA	SNCA	SNCA	SNCA	SNCA	-0.141298762	42.87567823	Y	2.716212961
MMRN1	MMRN1	MMRN1	MMRN1	MMRN1	0.347157132	73.79688606	N	67.71862202
GRID2	GRID2	GRID2	GRID2	GRID2	-0.839512508	11.40009436	N	66.14068899
ATOH1	ATOH1	ATOH1	ATOH1	ATOH1	-0.113792788	45.25831564	N	67.60419176
SMARCAD1	SMARCAD1	SMARCAD1	SMARCAD1	SMARCAD1	0.266447942	70.5826846	N	33.88340159
HPGDS	HPGDS	HPGDS	HPGDS	HPGDS	0.194852702	67.03231894	N	94.90484221
PDLIM5	PDLIM5	PDLIM5	PDLIM5	PDLIM5	1.335644081	94.24982307	N	68.45338473
BMPR1B	BMPR1B	BMPR1B	BMPR1B	BMPR1B	-0.756778259	13.44656759	N	56.62490966
UNC5C	UNC5C	UNC5C	UNC5C	UNC5C	-0.437212558	24.67563105	N	27.7342809
PDHA2	PDHA2	PDHA2	PDHA2	PDHA2	0.332586472	73.61405992	N	75.83112503
C4orf37	STPG2	STPG2	STPG2	STPG2	1.221756288	93.21184242	N	Unassessed
TSPAN5	TSPAN5	TSPAN5	TSPAN5	TSPAN5	-0.317668748	31.45789101	Y	5.016863406
ADH6	ADH6	ADH6	ADH6	ADH6	-0.315847836	31.68789809	N	68.41724886
ADH1A	ADH1A	ADH1A	ADH1A	ADH1A	-0.449946534	24.00330267	Y	30.81787521
C4orf17	C4orf17	C4orf17	C4orf17	C4orf17	0.751474114	86.64779429	N	53.27029631
TRMT10A	TRMT10A	TRMT10A	TRMT10A	TRMT10A	0.327131069	73.27199811	N	96.3984582
MTTP	MTTP	MTTP	MTTP	MTTP	1.42749112	94.99292286	N	40.5685377
LAMTOR3	LAMTOR3	LAMTOR3	LAMTOR3	LAMTOR3	0.013025609	54.62962963	Y	80.13129366
H2AFZ	H2AFZ	H2AFZ	H2AFZ	H2AFZ	0.057118534	57.99716914	Y	0.096362322
EMCN	EMCN	EMCN	EMCN	EMCN	0.060756528	58.52795471	Y	98.41604433
SLC39A8	SLC39A8	SLC39A8	SLC39A8	SLC39A8	0.17280645	65.75843359	N	6.432185016
NFKB1	NFKB1	NFKB1	NFKB1	NFKB1	-0.483123186	22.78249587	N	34.41339436
MANBA	MANBA	MANBA	MANBA	MANBA	-0.615405356	17.47464025	N	72.7053722
UBE2D3	UBE2D3	UBE2D3	UBE2D3	UBE2D3	0.057118534	57.99716914	Y	2.457239219
SLC9B2	SLC9B2	SLC9B2	SLC9B2	SLC9B2	0.576916344	82.25406936	N	69.75427608
BDH2	BDH2	BDH2	BDH2	BDH2	0.21689899	68.12927577	N	31.34786798
TACR3	TACR3	TACR3	TACR3	TACR3	-0.336073593	30.55555556	N	39.72536738
CXXC4	CXXC4	CXXC4	CXXC4	CXXC4	-0.009020804	52.8544468	Y	4.221874247
TET2	TET2	TET2	TET2	TET2	1.967713496	97.56428403	N	53.75210793
PPA2	PPA2	PPA2	PPA2	PPA2	-0.003562597	53.72729417	N	97.13924356
INTS12	INTS12	INTS12	INTS12	INTS12	-0.404032746	26.53338051	N	16.2490966
GSTCD	GSTCD	GSTCD	GSTCD	GSTCD	-0.314027422	31.9297004	N	60.40110817
TBCK	TBCK	TBCK	TBCK	TBCK	-0.042196577	50.49539986	N	57.39580824
AIMP1	AIMP1	AIMP1	AIMP1	AIMP1	0.084621747	60.31493277	N	70.33245001
DKK2	DKK2	DKK2	DKK2	DKK2	0.082802743	60.09082331	Y	94.26041918
PAPSS1	PAPSS1	PAPSS1	PAPSS1	PAPSS1	-0.799052816	12.45576787	N	30.27583715
SGMS2	SGMS2	SGMS2	SGMS2	SGMS2	0.016664174	55.21939137	Y	6.980245724
HADH	HADH	HADH	HADH	HADH	0.817616644	87.95116773	N	97.31992291
LEF1	LEF1	LEF1	LEF1	LEF1	0.196671391	67.19155461	N	66.22500602
RPL34	RPL34	RPL34	RPL34	RPL34	-0.075159878	47.78839349	Y	4.336304505
OSTC	OSTC	OSTC	OSTC	OSTC	0.013025609	54.62962963	Y	90.93591906
AGXT2L1	AGXT2L1	ETNPPL	ETNPPL	ETNPPL	-0.001743238	53.85114414	N	18.04384486
CCDC109B	CCDC109B	CCDC109B	CCDC109B	CCDC109B	0.395088462	76.15003539	N	83.02216333
CASP6	CASP6	CASP6	CASP6	CASP6	0.305084559	72.22811984	N	89.74343532
PLA2G12A	PLA2G12A	PLA2G12A	PLA2G12A	PLA2G12A	0.215080721	67.91696155	Y	99.59046013
RRH	RRH	RRH	RRH	RRH	0.507139401	80.10143902	N	63.15947964
LRIT3	LRIT3	LRIT3	LRIT3	LRIT3	1.910792163	97.4168436	N	Unassessed
EGF	EGF	EGF	EGF	EGF	1.298854499	93.91365888	N	59.90122862
ELOVL6	ELOVL6	ELOVL6	ELOVL6	ELOVL6	-0.207437529	38.2814343	Y	13.24379668
ENPEP	ENPEP	ENPEP	ENPEP	ENPEP	0.385781814	75.678226	N	62.23199229
PITX2	PITX2	PITX2	PITX2	PITX2	-0.337894035	30.37272942	N	5.010840761
AP1AR	AP1AR	AP1AR	AP1AR	AP1AR	0.327131069	73.27199811	N	29.50493857
ALPK1	ALPK1	ALPK1	ALPK1	ALPK1	1.458702267	95.175749	N	51.93929174
NEUROG2	NEUROG2	NEUROG2	NEUROG2	NEUROG2	0.25917371	70.05779665	Y	19.06769453
LARP7	LARP7	LARP7	LARP7	LARP7	0.242582624	69.45623968	N	59.00385449
ANK2	ANK2	ANK2	ANK2	ANK2	-3.328508946	0.412833215	N	48.51842929
CAMK2D	CAMK2D	CAMK2D	CAMK2D	CAMK2D	0.016664174	55.21939137	Y	10.89496507
UGT8	UGT8	UGT8	UGT8	UGT8	0.242582624	69.45623968	N	21.10937124
NDST4	NDST4	NDST4	NDST4	NDST4	-0.042196577	50.49539986	N	33.83522043
TRAM1L1	TRAM1L1	TRAM1L1	TRAM1L1	TRAM1L1	-0.560178693	19.30879925	N	20.51915201
NDST3	NDST3	NDST3	NDST3	NDST3	-0.997481928	8.47487615	N	15.58058299
PRSS12	PRSS12	PRSS12	PRSS12	PRSS12	0.07167258	59.15899976	N	51.84292941
SEC24D	SEC24D	SEC24D	SEC24D	SEC24D	1.18495331	92.84029252	N	47.19947001
MYOZ2	MYOZ2	MYOZ2	MYOZ2	MYOZ2	-0.273576253	33.97027601	Y	34.84702481
FABP2	FABP2	FABP2	FABP2	FABP2	0.03689118	56.64071715	Y	52.02963141
PDE5A	PDE5A	PDE5A	PDE5A	PDE5A	1.047190339	91.34229771	N	52.80052999
MAD2L1	MAD2L1	MAD2L1	MAD2L1	MAD2L1	0.03689118	56.64071715	Y	58.91953746
PRDM5	PRDM5	PRDM5	PRDM5	PRDM5	-0.620857637	17.3566879	N	35.19031559
NDNF	NDNF	NDNF	NDNF	NDNF	-0.666770504	15.86459071	N	51.55384245
TNIP3	TNIP3	TNIP3	TNIP3	TNIP3	0.439181676	77.69521113	N	60.24451939
QRFPR	QRFPR	QRFPR	QRFPR	QRFPR	1.618658506	95.99551781	N	75.53601542
ANXA5	ANXA5	ANXA5	ANXA5	ANXA5	0.128714042	63.19886766	N	47.3319682
TMEM155	TMEM155	TMEM155	TMEM155	TMEM155	0.858082312	88.55862232	N	99.83738858
EXOSC9	EXOSC9	EXOSC9	EXOSC9	EXOSC9	-0.247889024	35.98726115	N	56.78149843
CCNA2	CCNA2	CCNA2	CCNA2	CCNA2	0.371224249	75.12384996	N	39.7675259
BBS7	BBS7	BBS7	BBS7	BBS7	-0.402212257	26.7338995	N	81.28161889
TRPC3	TRPC3	TRPC3	TRPC3	TRPC3	-1.241834664	5.414012739	N	15.60467357
IL2	IL2	IL2	IL2	IL2	0.301449681	71.80938901	Y	13.10527584
IL21	IL21	IL21	IL21	IL21	-0.09720619	46.20193442	Y	33.05829921
BBS12	BBS12	BBS12	BBS12	BBS12	1.379742765	94.60368011	N	62.966755
NUDT6	NUDT6	NUDT6	NUDT6	NUDT6	0.639420866	83.8995046	N	98.879788
SPATA5	SPATA5	SPATA5	SPATA5	SPATA5	-0.21856543	37.66218448	N	96.12141653
SPRY1	SPRY1	SPRY1	SPRY1	SPRY1	-0.159704656	41.90846898	N	28.02939051
FAT4	FAT4	FAT4	FAT4	FAT4	-0.502828893	21.81528662	N	72.33799085
SLC25A31	SLC25A31	SLC25A31	SLC25A31	SLC25A31	-0.137658575	43.57159707	N	93.83883402
HSPA4L	HSPA4L	HSPA4L	HSPA4L	HSPA4L	0.244401822	69.50931824	N	81.47434353
PLK4	PLK4	PLK4	PLK4	PLK4	-0.306750577	32.23047889	N	63.04504939
MFSD8	MFSD8	MFSD8	MFSD8	MFSD8	0.242582624	69.45623968	N	58.44977114
LARP1B	LARP1B	LARP1B	LARP1B	LARP1B	0.760574103	86.83062043	N	47.23560588
SCLT1	SCLT1	SCLT1	SCLT1	SCLT1	-0.064242613	48.844067	N	61.46711636
C4orf33	C4orf33	C4orf33	C4orf33	C4orf33	0.837848571	88.22835574	N	69.00144543
SLC7A11	SLC7A11	SLC7A11	SLC7A11	SLC7A11	0.220536484	68.38287332	N	39.38207661
CCRN4L	CCRN4L	CCRN4L	CCRN4L	CCRN4L	0.062575634	58.74026893	N	25.18067935
ELF2	ELF2	ELF2	ELF2	ELF2	0.52918614	80.81505072	N	40.93591906
NDUFC1	NDUFC1	NDUFC1	NDUFC1	NDUFC1	0.057118534	57.99716914	Y	3.30040954
RAB33B	RAB33B	RAB33B	RAB33B	RAB33B	0.082802743	60.09082331	Y	33.97374127
SETD7	SETD7	SETD7	SETD7	SETD7	0.084621747	60.31493277	N	16.6225006
MGST2	MGST2	MGST2	MGST2	MGST2	0.43736446	77.56546355	N	69.24235124
SCOC	SCOC	SCOC	SCOC	SCOC	0.701931997	85.34442085	N	70.67574079
CLGN	CLGN	CLGN	CLGN	CLGN	0.556689353	81.63481953	N	89.8879788
ELMOD2	ELMOD2	ELMOD2	ELMOD2	ELMOD2	0.193034296	66.82000472	Y	85.19633823
UCP1	UCP1	UCP1	UCP1	UCP1	0.196671391	67.19155461	N	97.34401349
ZNF330	ZNF330	ZNF330	ZNF330	ZNF330	0.349177632	74.18023119	N	81.07082631
IL15	IL15	IL15	IL15	IL15	0.125076652	62.7388535	Y	49.45796194
INPP4B	INPP4B	INPP4B	INPP4B	INPP4B	-0.440847477	24.59896202	N	29.30016863
USP38	USP38	USP38	USP38	USP38	-1.262067713	5.284265157	N	78.95085522
GAB1	GAB1	GAB1	GAB1	GAB1	-0.003562597	53.72729417	N	29.29414599
SMARCA5	SMARCA5	SMARCA5	SMARCA5	SMARCA5	-0.979072682	8.752064166	N	4.944591665
HHIP	HHIP	HHIP	HHIP	HHIP	0.023941474	55.75607455	N	74.45796194
OTUD4	OTUD4	OTUD4	OTUD4	OTUD4	-0.993849454	8.56334041	N	44.36882679
SMAD1	SMAD1	SMAD1	SMAD1	SMAD1	-0.405853867	26.23260203	Y	10.42519875
MMAA	MMAA	MMAA	MMAA	MMAA	-0.690637458	15.12149092	N	75.45169839
LSM6	LSM6	LSM6	LSM6	LSM6	0.101211609	60.95777306	N	Unassessed
SLC10A7	SLC10A7	SLC10A7	SLC10A7	SLC10A7	0.283038099	71.26680821	N	88.69549506
EDNRA	EDNRA	EDNRA	EDNRA	EDNRA	-0.383807564	27.41802312	Y	12.38255842
TMEM184C	TMEM184C	TMEM184C	TMEM184C	TMEM184C	-0.185391282	39.67916962	Y	74.28932787
PRMT10	PRMT10	PRMT10	PRMT10	PRMT10	-0.837696902	11.45317292	N	75.68658155
NR3C2	NR3C2	NR3C2	NR3C2	NR3C2	-0.352661697	29.48808681	N	21.30811853
LRBA	LRBA	LRBA	LRBA	LRBA	-2.513092117	0.925925926	N	74.34353168
MAB21L2	MAB21L2	MAB21L2	MAB21L2	MAB21L2	-0.339715008	30.06605331	Y	1.481570706
RPS3A	RPS3A	RPS3A	RPS3A	RPS3A	0.013025609	54.62962963	Y	3.28836425
PET112	PET112	PET112	PET112	PET112	0.358272123	74.66383581	N	97.68128162
FBXW7	FBXW7	FBXW7	FBXW7	FBXW7	-0.111973265	45.35857514	N	7.329559142
TMEM154	TMEM154	TMEM154	TMEM154	TMEM154	0.169169615	65.33380514	Y	93.59792821
ARFIP1	ARFIP1	ARFIP1	ARFIP1	ARFIP1	0.106667882	61.73036093	N	23.06673091
TRIM2	TRIM2	TRIM2	TRIM2	TRIM2	-1.109541557	6.782259967	N	14.7012768
MND1	MND1	MND1	MND1	MND1	-0.251530012	35.42108988	Y	88.81594796
KIAA0922	KIAA0922	KIAA0922	KIAA0922	KIAA0922	0.021910749	55.61453173	N	51.69838593
TLR2	TLR2	TLR2	TLR2	TLR2	-0.150608082	42.28001887	N	64.49048422
DCHS2	DCHS2	DCHS2	DCHS2	DCHS2	7.753553704	99.94102383	N	82.82943869
FGB	FGB	FGB	FGB	FGB	0.308721233	72.59966973	N	38.61117803
FGA	FGA	FGA	FGA	FGA	-0.751322189	13.71196037	N	57.6969405
FGG	FGG	FGG	FGG	FGG	-0.025608647	51.91672564	N	52.0416767
LRAT	LRAT	LRAT	LRAT	LRAT	0.03689118	56.64071715	Y	34.46759817
RBM46	RBM46	RBM46	RBM46	RBM46	-0.426079032	25.36565228	N	37.79209829
NPY2R	NPY2R	NPY2R	NPY2R	NPY2R	-0.580403979	18.58928993	N	9.467598169
ASIC5	ASIC5	ASIC5	ASIC5	ASIC5	-0.50880549	21.72682236	N	36.87063358
CTSO	CTSO	CTSO	CTSO	CTSO	-0.005381972	53.50908233	N	72.73548543
PDGFC	PDGFC	PDGFC	PDGFC	PDGFC	0.038710339	56.92380278	Y	23.58467839
GLRB	GLRB	GLRB	GLRB	GLRB	-1.001120478	8.321538099	N	55.66730908
GRIA2	GRIA2	GRIA2	GRIA2	GRIA2	-0.778825328	12.88039632	N	28.16791135
FAM198B	FAM198B	FAM198B	FAM198B	FAM198B	-0.132199953	43.97853267	N	94.91086485
TMEM144	TMEM144	TMEM144	TMEM144	TMEM144	0.21689899	68.12927577	N	90.42399422
ETFDH	ETFDH	ETFDH	ETFDH	ETFDH	-0.558357437	19.54470394	N	36.90074681
PPID	PPID	PPID	PPID	PPID	0.77170517	87.00754895	N	80.28185979
FSTL5	FSTL5	FSTL5	FSTL5	FSTL5	0.536463361	81.06864827	N	78.20404722
NAF1	NAF1	NAF1	NAF1	NAF1	0.527368849	80.73248408	N	94.82052517
NPY5R	NPY5R	NPY5R	NPY5R	NPY5R	-0.139478553	43.29440906	Y	65.92989641
TKTL2	TKTL2	TKTL2	TKTL2	TKTL2	-0.174473069	40.59919792	N	91.88147434
MARCH1	MARCH1	MARCH1	MARCH1	MARCH1	0.038710339	56.92380278	Y	49.74102626
FAM218A	FAM218A	FAM218A	FAM218A	FAM218A	0.547599505	81.2160887	N	65.20717899
TRIM60	TRIM60	TRIM60	TRIM60	TRIM60	1.396334339	94.70393961	N	96.36834498
MSMO1	MSMO1	MSMO1	MSMO1	MSMO1	0.703746784	85.42108988	N	80.29390508
CPE	CPE	CPE	CPE	CPE	-0.047654689	50.22410946	N	85.95519152
TLL1	TLL1	TLL1	TLL1	TLL1	-0.927704399	9.719273414	N	35.03974946
CBR4	CBR4	CBR4	CBR4	CBR4	0.305084559	72.22811984	N	90.03252228
C4orf27	C4orf27	C4orf27	C4orf27	C4orf27	0.483275131	79.25218212	N	72.71741749
AADAT	AADAT	AADAT	AADAT	AADAT	-0.117432389	44.89266336	Y	15.05661286
GALNT7	GALNT7	GALNT7	GALNT7	GALNT7	0.442818085	77.8544468	N	47.24765117
HMGB2	HMGB2	HMGB2	HMGB2	HMGB2	-0.031067188	51.03798066	Y	96.94651891
SAP30	SAP30	SAP30	SAP30	SAP30	0.057118534	57.99716914	Y	98.65092749
SCRG1	SCRG1	SCRG1	SCRG1	SCRG1	0.013025609	54.62962963	Y	89.91809203
FBXO8	FBXO8	FBXO8	FBXO8	FBXO8	-0.183570861	39.95046001	Y	8.299205011
HPGD	HPGD	HPGD	HPGD	HPGD	-0.205617011	38.57631517	Y	49.55432426
GLRA3	GLRA3	GLRA3	GLRA3	GLRA3	-0.66859065	15.76433121	N	16.91761021
ADAM29	ADAM29	ADAM29	ADAM29	ADAM29	0.113945049	62.14319415	N	27.84871115
GPM6A	GPM6A	GPM6A	GPM6A	GPM6A	-0.163345027	41.24793583	Y	24.5061431
WDR17	WDR17	WDR17	WDR17	WDR17	1.526690916	95.49422033	N	66.11659841
SPATA4	SPATA4	SPATA4	SPATA4	SPATA4	0.238945317	69.20853975	N	29.55914238
ASB5	ASB5	ASB5	ASB5	ASB5	-0.512444034	21.55579146	N	44.04360395
NEIL3	NEIL3	NEIL3	NEIL3	NEIL3	2.157029472	98.01250295	N	84.35919056
AGA	AGA	AGA	AGA	AGA	0.753291803	86.71266808	N	60.6058781
DCTD	DCTD	DCTD	DCTD	DCTD	-0.317668748	31.45789101	Y	9.847024813
ING2	ING2	ING2	ING2	ING2	-0.09720619	46.20193442	Y	9.184533847
ENPP6	ENPP6	ENPP6	ENPP6	ENPP6	-0.352661697	29.48808681	N	66.63454589
IRF2	IRF2	IRF2	IRF2	IRF2	-0.60427181	17.74593064	N	1.752589737
CASP3	CASP3	CASP3	CASP3	CASP3	-0.383807564	27.41802312	Y	79.0953987
CCDC111	CCDC111	CCDC111	PRIMPOL	PRIMPOL	0.510776592	80.23708422	N	86.32257287
MLF1IP	MLF1IP	MLF1IP	MLF1IP	CENPU	0.486911049	79.46449634	N	81.62490966
ACSL1	ACSL1	ACSL1	ACSL1	ACSL1	-0.841329384	11.36470866	N	12.20790171
LRP2BP	LRP2BP	LRP2BP	LRP2BP	LRP2BP	-0.626318434	17.03231894	N	87.47892074
ANKRD37	ANKRD37	ANKRD37	ANKRD37	ANKRD37	0.503505267	79.88912479	N	86.29848229
UFSP2	UFSP2	UFSP2	UFSP2	UFSP2	-0.025608647	51.91672564	N	40.39388099
CCDC110	CCDC110	CCDC110	CCDC110	CCDC110	3.004392866	99.21561689	N	84.57600578
PDLIM3	PDLIM3	PDLIM3	PDLIM3	PDLIM3	-0.534490515	20.70063694	N	20.38665382
SORBS2	SORBS2	SORBS2	SORBS2	SORBS2	-0.519955994	20.95423449	N	44.90484221
TLR3	TLR3	TLR3	TLR3	TLR3	-0.24061166	36.28214201	N	20.1577933
F11	F11	F11	F11	F11	-0.929520514	9.683887709	N	52.87882438
MTNR1A	MTNR1A	MTNR1A	MTNR1A	MTNR1A	0.220536484	68.38287332	N	67.27294628
ZFP42	ZFP42	ZFP42	ZFP42	ZFP42	0.17280645	65.75843359	N	29.32425921
TRIML2	TRIML2	TRIML2	TRIML2	TRIML2	1.842813887	97.09247464	N	45.99494098
TRIML1	TRIML1	TRIML1	TRIML1	TRIML1	0.332586472	73.61405992	N	71.30811853
CCDC127	CCDC127	CCDC127	CCDC127	CCDC127	0.016664174	55.21939137	Y	24.33148639
SDHA	SDHA	SDHA	SDHA	SDHA	-0.857930839	10.95187544	N	32.67887256
PDCD6	PDCD6	PDCD6	PDCD6	PDCD6	-0.361761279	28.6329323	Y	25.34931342
SLC9A3	SLC9A3	SLC9A3	SLC9A3	SLC9A3	-1.785892633	2.25878745	N	12.57528306
TPPP	TPPP	TPPP	TPPP	TPPP	-0.315847836	31.68789809	N	24.17489762
ZDHHC11	ZDHHC11	ZDHHC11	ZDHHC11	ZDHHC11	0.979225112	90.42816702	N	80.55890147
TRIP13	TRIP13	TRIP13	TRIP13	TRIP13	-0.22584292	37.32012267	N	15.56251506
SLC6A18	SLC6A18	SLC6A18	SLC6A18	SLC6A18	1.010397292	90.81151215	N	69.35075885
CLPTM1L	CLPTM1L	CLPTM1L	CLPTM1L	CLPTM1L	-0.596992387	18.18825195	N	48.93399181
SLC6A3	SLC6A3	SLC6A3	SLC6A3	SLC6A3	-1.528486521	3.385232366	N	11.24427849
LPCAT1	LPCAT1	LPCAT1	LPCAT1	LPCAT1	-0.839512508	11.40009436	N	41.05637196
MRPL36	MRPL36	MRPL36	MRPL36	MRPL36	-0.073340031	48.11866006	Y	16.1286437
NDUFS6	NDUFS6	NDUFS6	NDUFS6	NDUFS6	-0.163345027	41.24793583	Y	57.63671404
NSUN2	NSUN2	NSUN2	NSUN2	NSUN2	-0.995664936	8.539749941	N	57.68489521
SRD5A1	SRD5A1	SRD5A1	SRD5A1	SRD5A1	-0.073340031	48.11866006	Y	10.02168152
PAPD7	PAPD7	PAPD7	PAPD7	PAPD7	-0.999300439	8.368719038	N	18.8629246
ADCY2	ADCY2	ADCY2	ADCY2	ADCY2	0.115764778	62.17268224	N	20.68778608
FASTKD3	FASTKD3	FASTKD3	FASTKD3	FASTKD3	0.290313621	71.56758669	N	50.26499639
MTRR	MTRR	MTRR	MTRR	MTRR	1.429318999	95.00471809	N	62.21392436
SEMA5A	SEMA5A	SEMA5A	SEMA5A	SEMA5A	-2.892521092	0.583864119	N	35.6721272
TAS2R1	TAS2R1	TAS2R1	TAS2R1	TAS2R1	0.084621747	60.31493277	N	72.80775717
CCT5	CCT5	CCT5	CCT5	CCT5	-0.424258538	25.56027365	N	20.24813298
CMBL	CMBL	CMBL	CMBL	CMBL	0.150760231	64.51403633	N	88.57504216
ROPN1L	ROPN1L	ROPN1L	ROPN1L	ROPN1L	0.461228372	78.46190139	N	94.7843893
DAP	DAP	DAP	DAP	DAP	0.257356108	69.83368719	Y	39.26764635
CTNND2	CTNND2	CTNND2	CTNND2	CTNND2	-2.412493531	1.067468743	N	16.27318718
DNAH5	DNAH5	DNAH5	DNAH5	DNAH5	-0.181093951	40.16277424	N	79.80004818
TRIO	TRIO	TRIO	TRIO	TRIO	-4.037140278	0.176928521	N	16.64659118
FAM105A	FAM105A	FAM105A	FAM105A	FAM105A	0.106667882	61.73036093	N	77.1079258
ANKH	ANKH	ANKH	ANKH	ANKH	-0.378346116	28.01368247	N	12.08142616
ZNF622	ZNF622	ZNF622	ZNF622	ZNF622	-0.315847836	31.68789809	N	70.80221633
CDH18	CDH18	CDH18	CDH18	CDH18	-1.219785504	5.602736494	N	40.54444712
CDH12	CDH12	CDH12	CDH12	CDH12	-0.352661697	29.48808681	N	37.64153216
CDH10	CDH10	CDH10	CDH10	CDH10	-0.800872469	12.33191791	N	35.64201397
CDH9	CDH9	CDH9	CDH9	CDH9	-0.376526807	28.10804435	N	26.84895206
CDH6	CDH6	CDH6	CDH6	CDH6	-1.3098007	4.847841472	N	6.913996627
C5orf22	C5orf22	C5orf22	C5orf22	C5orf22	0.729426781	86.17008728	N	73.66899542
GOLPH3	GOLPH3	GOLPH3	GOLPH3	GOLPH3	-0.361761279	28.6329323	Y	6.21536979
SUB1	SUB1	SUB1	SUB1	SUB1	-0.009020804	52.8544468	Y	91.52011563
TARS	TARS	TARS	TARS	TARS	0.602602982	82.87331918	N	69.09780776
RXFP3	RXFP3	RXFP3	RXFP3	RXFP3	-0.069700724	48.54328851	N	89.01469525
SLC45A2	SLC45A2	SLC45A2	SLC45A2	SLC45A2	-0.975433863	8.852323661	N	48.36786317
AMACR	AMACR	AMACR	AMACR	AMACR	1.418384579	94.89266336	N	96.29005059
C1QTNF3	C1QTNF3	C1QTNF3	C1QTNF3	C1QTNF3	-0.073340031	48.11866006	Y	10.31679113
RAD1	RAD1	RAD1	RAD1	RAD1	0.194852702	67.03231894	N	67.06817634
DNAJC21	DNAJC21	DNAJC21	DNAJC21	DNAJC21	-0.154246007	42.22694032	N	75.54203806
AGXT2	AGXT2	AGXT2	AGXT2	AGXT2	0.891034851	89.2663364	N	45.67574079
PRLR	PRLR	PRLR	PRLR	PRLR	0.020302773	55.60863411	N	77.89086967
SPEF2	SPEF2	SPEF2	SPEF2	SPEF2	2.82254163	99.06817646	N	68.35099976
IL7R	IL7R	IL7R	IL7R	IL7R	0.933309256	89.82661005	N	85.89496507
CAPSL	CAPSL	CAPSL	CAPSL	CAPSL	-0.093566408	46.7386176	N	41.66465912
UGT3A1	UGT3A1	UGT3A1	UGT3A1	UGT3A1	0.308721233	72.59966973	N	67.30908215
UGT3A2	UGT3A2	UGT3A2	UGT3A2	UGT3A2	0.354632714	74.58126917	N	90.59262828
SKP2	SKP2	SKP2	SKP2	SKP2	-0.692458599	14.96815287	N	16.97181402
NADKD1	NADKD1	NADK2	NADK2	NADK2	0.527368849	80.73248408	N	87.56323777
RANBP3L	RANBP3L	RANBP3L	RANBP3L	RANBP3L	0.108486928	61.90728946	N	50.21681523
SLC1A3	SLC1A3	SLC1A3	SLC1A3	SLC1A3	-0.66859065	15.76433121	N	57.40183088
