GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratio	%OEratio	%ExAC_0.1%popn	%ExAC_0.05%popn	%ExAC_0.01%
SPRR1B	0.34	76.98	0.1	61.28	0.03	51.87	0.41	79.62	0.22	68.16	0.44	80.53	0.32	71.39	0.27	73.56	-0.79	17.37	66.59	64.03	59.80
SPRR2A	0.49	81.88	0.32	72.94	0.33	70.46	0.58	85.92	0.08	60.11	0.06	65.58	0.4	75.14	0.48	80.71	-0.08	39.92	67.79	65.50	66.12
SPRR2B	0.05	64.03	0.06	58	0.11	56.84	0.27	72.42	0.04	58.08	0.04	64.23	0.16	62.02	0.1	65.33	-0.81	17	60.41	66.00	59.93
SPRR2D	0.39	79.13	0.19	66.57	-0.1	43.16	0.47	82.41	0.36	74.41	0	61.1	0.17	62.87	0.33	75.84	-0.59	21.84	69.35	79.14	71.73
SPRR2E	0.01	60.6	0.24	68.72	0.71	84.8	0.51	83.61	0.67	84.33	-0.05	57.34	0.06	55.51	0.04	61.25	1.26	93.84	71.94	77.56	74.83
SPRR2F	1.2	93.11	0.9	89.35	0.45	75.7	1.32	96.7	0.74	85.94	0.53	83.06	0.76	86.63	1.4	94.39	NA	NA	67.33	67.71	63.23
SPRR2G	0.44	80.37	0.5	79.79	0.46	76.32	0.81	91.42	0.04	58.08	0.04	64.23	0.46	77.54	0.36	76.95	2.1	99.32	72.25	70.97	67.31
SPRR3	0.53	82.97	0.46	78.46	0.3	68.98	0.41	79.88	0.3	72	0.78	88.15	0.48	78.39	0.06	62.42	NA	NA	78.68	69.26	73.84
SPRR4	0.76	87.79	0.37	74.95	0.36	72.17	0.71	89.46	-0.19	41.39	-0.11	51.62	0.41	75.68	0.72	86.42	1.74	98.39	70.66	63.24	65.06
SPRTN	-0.27	35.57	-0.58	18.72	-0.35	28.82	-0.58	15.25	-0.27	35.59	0.42	79.46	-0.62	17.68	-0.34	30.52	NA	NA	42.06	43.86	35.64
SPSB1	-0.25	37.63	-0.16	41.64	-0.6	18.67	-0.08	42.56	-0.26	36.72	-0.15	47.68	-0.35	28.67	-0.39	27.64	-2.06	3.94	18.58	16.35	18.08
SPTA1	2.24	97.87	4.85	99.79	2.55	99	-0.75	10.86	3.57	99.42	1.67	96.03	3.1	99.43	3.1	99.09	NA	NA	99.75	99.74	99.48
SRM	-0.22	39.8	-0.38	27.42	-0.52	21.53	-0.05	45.37	-0.32	32.45	-0.19	43.65	-0.45	23.52	-0.3	33.66	-1.46	8	45.82	32.71	42.94
SRP9	-0.02	58.07	-0.05	49.39	-0.24	34.29	0.19	65.65	-0.02	53.64	0	61.1	0.01	52.23	0.01	58.77	-2.36	2.79	57.23	55.91	63.25
SRRM1	-1.07	5.92	-0.93	9.68	-0.86	11.98	-0.17	35.54	-0.69	15.36	-1.15	4.98	-0.37	27.38	-0.87	9.64	NA	NA	17.51	19.35	27.18
SRSF11	-0.25	37.63	-0.41	26.23	-0.74	14.48	-0.08	42.56	-0.52	21.96	-0.32	33.13	-0.17	38.94	-0.12	48.49	-1.87	4.97	19.32	12.90	17.52
SRSF4	0.66	85.85	0.06	58.85	-0.36	28.49	0.69	88.95	0.97	90.27	1.01	91.3	0.06	54.68	0.56	82.76	NA	NA	51.36	34.43	45.08
SSBP3	-0.41	26.34	-0.65	16.36	-0.46	23.77	-0.27	29.64	-0.59	19.35	-0.36	30.17	-0.74	14.34	-0.48	22.63	NA	NA	29.08	35.57	40.30
SSR2	-0.12	48.6	-0.21	38.28	-0.23	34.77	0.07	55.44	-0.22	39.02	-0.13	49.82	-0.13	42.03	-0.08	50.87	0.6	72.63	32.71	54.08	35.67
SSU72	-0.06	54.08	-0.14	42.88	-0.36	28.24	0.12	59.81	-0.16	43.78	-0.09	53.45	-0.08	45.18	-0.05	53.64	-4.23	0.23	40.61	36.80	38.22
SSX2IP	-0.18	42.6	-0.69	15.12	-0.98	9.73	-0.48	18.72	-0.48	24	0	59.84	-0.53	20.87	-0.28	34.54	NA	NA	19.91	32.62	26.26
ST3GAL3	-0.12	47.71	-0.36	29.16	-0.24	34.5	-0.42	21.53	0	54.9	0.06	64.99	-0.24	35	-0.25	36.93	NA	NA	32.42	27.51	41.20
ST6GALNAC3	0.01	59.92	-0.16	41.91	-0.31	30.62	-0.27	29.64	0.82	87.88	0.1	67.67	-0.21	36.73	0.09	64.59	NA	NA	39.95	52.82	53.62
ST6GALNAC5	-0.29	34.06	-0.47	23.04	-0.14	40.79	-0.13	38.52	-0.46	24.98	-0.28	36.38	-0.55	20.05	-0.36	29.59	0.12	49.11	35.13	19.31	22.61
ST7L	0.59	84.15	1.91	97.39	0.89	89.02	2.05	98.76	2.07	97.65	0.46	80.95	0.81	87.66	-0.13	46.29	NA	NA	93.94	84.63	90.84
STIL	-0.04	55.54	0.69	85.29	0.28	67.69	-0.42	21.14	0.65	83.84	-0.19	41.93	-0.18	37.84	0.15	68.44	NA	NA	71.11	42.55	71.74
STK40	-0.35	29.49	-0.96	9.17	-1.03	9.06	-0.68	12.3	-0.81	12.54	-0.21	40.48	-1.15	7.08	-0.52	20.29	NA	NA	7.61	10.55	13.38
STMN1	0.05	64.03	0.28	70.87	0.11	56.84	0.54	84.8	0.04	58.08	0.04	64.23	0.4	75.14	0.1	65.33	-1.87	4.99	49.35	46.59	47.25
STX12	-0.03	56.85	-0.08	47.79	-0.14	40.65	0.17	64.34	-0.06	51	-0.02	59.11	-0.08	45.18	-0.05	53.64	0.91	85.63	26.93	46.00	42.56
STX6	-0.33	31.07	-0.54	20.26	0.03	52.05	-0.18	35	-0.59	19.35	-0.36	30.17	0.04	53.75	-0.3	33.66	NA	NA	31.24	55.36	40.23
STXBP3	-0.46	22.89	-0.51	21.41	-0.04	47.1	-0.35	24.69	-0.52	21.96	-0.32	33.13	-0.63	17.4	-0.57	18.55	NA	NA	33.90	26.47	22.85
SUCO	-1.43	3	-1.24	5.52	-0.41	25.74	-1.45	3.32	-1.27	5.35	-1.27	3.8	-0.96	9.86	-0.42	25.99	NA	NA	7.02	8.49	8.78
SUSD4	-0.42	24.76	-0.58	18.78	-0.65	16.99	-0.48	18.87	-0.77	13.46	-0.96	7.3	-0.18	38.03	-0.37	28.37	NA	NA	40.26	38.06	37.99
SV2A	-0.95	7.41	-1.24	5.41	-2.14	1.87	-0.9	8.49	-1.06	7.87	-0.66	14.79	-1.51	4.09	-1.3	4.18	NA	NA	6.42	4.28	8.25
SWT1	0.23	72.5	0.62	83.53	0.32	69.99	-0.1	40.33	0.57	81.47	0.76	87.55	0.49	78.83	0.66	85.28	NA	NA	63.27	66.92	37.75
SYCP1	0.3	75.46	0.25	69.57	-0.35	28.86	0.56	85.33	0.23	68.29	0.02	61.31	-0.37	27.38	-0.49	21.68	NA	NA	18.65	13.13	29.17
SYDE2	1.62	95.74	0.72	85.83	1.34	94.76	-0.69	12.1	0.62	82.92	0.31	75.36	1.3	94	1.16	92.62	NA	NA	87.19	82.25	60.54
SYF2	0.63	85.37	0.42	76.81	0.29	68.4	-0.01	48.28	0.06	58.83	0.34	76.81	0.71	85.62	0.21	71.22	NA	NA	63.51	63.07	55.52
SYNC	1.36	94.21	1.48	95.31	1.32	94.54	1.31	96.63	1.47	95	1.33	94.2	1.03	91.29	1.48	94.98	NA	NA	NA	NA	NA
SYPL2	0.9	89.86	0.93	89.7	0.18	61.75	0.68	88.85	0.44	77.82	0.1	67.67	0.82	87.81	1.27	93.52	NA	NA	70.22	70.36	59.01
SYT11	-0.04	56.02	-0.25	35.99	-0.29	31.91	-0.33	25.66	-0.69	15.81	-0.43	25.96	0.09	57.81	-0.03	54.84	NA	NA	25.49	20.96	44.29
SYT14	-0.46	22.89	-0.49	22.36	-0.04	47.1	-0.04	45.77	-0.62	18.12	-0.38	28.74	-0.63	17.4	-0.57	18.55	NA	NA	48.56	51.75	47.33
SYT2	-0.39	27.26	-0.63	17.03	-0.13	41.27	-0.25	30.64	-0.62	18.12	-0.38	28.74	-0.69	15.59	-0.45	24.32	NA	NA	15.64	15.02	17.16
SYT6	-0.31	32.42	-0.89	10.37	-0.47	23.11	-0.34	24.96	-0.13	44.96	-0.02	57.92	-0.66	16.55	-0.52	20.29	NA	NA	61.76	60.04	59.20
SYTL1	0.19	70.88	-0.27	34.71	-0.38	27.61	-0.53	16.97	-0.37	29.35	0.36	77.15	0.35	72.77	-0.18	41.72	NA	NA	86.57	82.19	82.03
SZRD1	-0.08	52.75	-0.14	42.88	0.32	70.14	0.12	59.81	-0.16	43.78	-0.09	53.45	0.26	68.43	0.01	58.77	-0.36	29.22	58.92	57.88	66.86
TACSTD2	1.42	94.56	1.08	91.8	0.75	85.86	0.8	91.25	0.75	86.23	1.35	94.39	1.26	93.73	1.63	95.73	NA	NA	62.60	64.81	59.01
TADA1	-0.29	34.06	-0.23	37.11	0.16	60.17	0.16	63.19	0.3	72	0.25	73.58	-0.21	36.73	-0.3	33.66	-0.09	39.58	54.96	38.31	52.67
TAF12	-0.03	56.85	0.17	65.33	0.01	50.22	0.46	81.79	0.19	66.52	-0.11	51.62	0.06	55.51	0.04	61.25	0.1	48.05	49.29	64.03	52.42
TAF13	0	59.32	-0.05	49.39	0.24	65.12	0.19	65.65	0.04	58.08	0.04	64.23	-0.03	48.73	-0.02	56.24	-0.29	31.67	44.94	48.69	42.67
TAF1A	0.43	80.24	0.6	82.66	0.6	81.74	0.04	52.78	0.41	76.62	0.08	66.58	0.68	84.72	0.41	78.67	NA	NA	86.45	82.11	80.74
TAF5L	-0.99	6.79	-1.06	7.48	-0.37	28.08	-0.95	7.76	-0.84	11.87	-0.47	22.65	-1.34	5.25	-1.02	7.06	NA	NA	9.77	11.55	10.28
TAGLN2	0.19	71.21	-0.14	43.29	-0.08	44.38	-0.06	44.03	0.09	60.89	0.36	77.59	-0.12	42.85	-0.24	38.27	-0.76	17.91	44.18	58.39	56.53
TARBP1	1	90.99	-0.23	36.36	-0.54	20.47	-0.83	9.38	0	54.5	0.74	87	-0.42	24.6	-0.25	36.39	NA	NA	15.11	41.81	29.95
TARDBP	-0.23	38.75	-0.38	27.42	-0.7	15.62	-0.06	44.03	-0.42	26.73	-0.26	38.17	-0.31	30.41	-0.21	40.71	-1.96	4.41	32.68	25.52	33.17
TARS2	-0.38	27.54	-0.27	34.82	-0.38	27.21	-0.43	20.97	0.04	57.38	-0.15	46.2	-1	9.23	-0.58	17.81	NA	NA	10.45	7.27	8.25
TAS1R1	0.81	88.49	3.52	99.47	1.81	97.47	1.73	98.21	1.42	94.72	0.1	67.04	2.36	98.69	2.12	97.53	NA	NA	98.96	95.01	97.57
TAS1R2	1.3	93.8	1.04	91.13	0.15	60	-0.98	7.17	0.1	60.94	1.33	94.05	0.77	86.83	1.73	96.1	NA	NA	95.40	87.60	91.54
TAS1R3	-0.64	14.79	-2	1.74	-0.37	28.04	-1.79	2.02	-2.25	1.22	-0.79	10.3	-1.86	2.5	-1.5	3.06	NA	NA	91.12	99.00	98.08
TATDN3	0.08	65.39	1.15	92.47	0.76	86.1	1.24	96.16	0.37	74.91	0.29	75.26	0.93	89.82	1.42	94.58	NA	NA	89.68	90.27	91.48
TBCE	-0.07	52.94	0.8	87.66	0.21	63.52	0.32	75.28	-0.6	18.69	-0.85	9.21	0.67	84.49	0.16	68.78	NA	NA	92.11	82.77	89.18
TBX15	0.73	87.13	0.17	65.96	-0.3	31.09	0.19	66.37	-0.13	44.96	0.51	82.39	0.24	67.53	0.29	74.24	NA	NA	55.83	49.39	45.19
TBX19	-0.76	11.26	-0.96	9.17	-1.18	7.25	-0.68	12.3	-1.06	7.87	-0.66	14.79	-1.1	7.71	-0.49	21.68	NA	NA	18.99	36.96	19.18
TCEA3	-0.36	29.16	-0.34	30.37	-0.05	46.33	0.07	55.79	-0.11	46.94	-0.3	34.73	-0.26	34.03	-0.33	31.71	NA	NA	33.26	36.83	37.82
TCEANC2	-0.25	37.63	0.08	60.09	0.28	67.44	0.21	67.55	0.37	74.91	-0.24	39.98	-0.26	34.03	-0.33	31.71	0.67	76.32	59.74	47.52	67.09
TCEB3	-0.28	34.15	0.96	90.17	0.47	76.86	-0.51	17.79	0.3	71.54	-0.47	22.65	0.95	89.98	0.09	64.67	NA	NA	90.02	56.48	80.82
TCHH	-0.39	27.26	1.54	95.58	0.93	89.67	3.89	99.73	1.53	95.29	-0.45	23.44	0.59	82.09	-0.34	30	NA	NA	87.66	80.34	37.29
TCHHL1	-0.33	31.23	0.16	64.92	-0.67	16.55	0.31	74.51	-0.67	16.3	-0.89	8.32	-0.18	37.84	0.15	68.44	NA	NA	85.34	67.21	57.68
TCTEX1D1	1.06	91.63	0.44	77.57	0.48	77	0.29	73.88	0.88	88.91	1.44	94.84	0.37	74.12	0.92	89.72	NA	NA	71.22	60.58	58.66
TDRD10	0.48	81.45	0.42	76.96	0.29	68.02	0.09	57.11	0.82	87.88	0.63	85.37	0.19	64.07	0.41	78.67	NA	NA	38.03	61.00	56.36
TDRD5	1.19	93	0.69	85.29	-0.74	14.67	0.16	62.84	0.51	79.9	0.48	81.42	0.42	75.88	0.68	85.68	NA	NA	26.90	17.73	17.87
TDRKH	-0.08	51.94	0.69	85.1	0.17	61.36	0.79	91.07	1.17	92.59	0.08	66.58	0.44	77.01	-0.51	21.08	NA	NA	66.35	59.28	57.83
TEDDM1	0.15	69.36	0.31	72.23	0.53	78.9	0.19	66.09	0.37	74.91	0.29	75.26	0.43	76.7	0.41	78.67	NA	NA	39.98	42.03	34.59
TEKT2	0.4	79.26	-0.33	30.74	0.8	87.18	-0.19	34.34	-1.05	8	-0.89	8.32	0.12	60.02	0.67	85.44	NA	NA	96.21	93.36	91.76
TESK2	-0.38	27.54	0.22	68.44	1.07	91.8	0.15	62.13	-0.19	40.45	-0.3	33.53	0.45	77.28	-0.28	34.54	NA	NA	71.69	71.38	85.46
TEX35	0.8	88.48	1.26	93.56	1.35	94.87	2.01	98.71	1.1	91.87	0.04	63.43	1.07	91.9	1.12	92.22	NA	NA	86.29	88.63	92.99
TFB2M	-0.55	18.49	-0.14	43.77	0.01	50.48	-0.43	20.77	-0.1	47.36	-0.53	20.14	-0.08	44.23	-0.69	14.27	NA	NA	45.56	37.64	23.50
TGFB2	-0.33	31.07	-0.05	50.01	-0.11	42.29	0.11	58.69	0.3	72	-0.28	36.38	-0.15	40.41	-0.42	25.91	NA	NA	27.11	19.05	18.29
TGFBR3	-0.73	12.13	0.18	66.24	0.25	65.92	-0.25	30.04	0.51	79.9	-0.05	55.6	0.25	67.63	-0.5	21.31	NA	NA	69.33	67.80	47.18
THAP3	0.96	90.53	1.02	90.86	1.65	96.8	1.62	97.89	1.02	90.94	0.76	87.73	1.21	93.31	0.83	88.46	NA	NA	85.68	76.89	85.26
THBS3	-0.44	23.81	-1.48	3.66	-0.99	9.68	-0.98	7.32	-1.37	4.4	-0.28	34.84	-0.59	18.55	-0.79	11.45	NA	NA	2.06	2.89	7.17
THEM4	-0.18	43.45	0.93	89.66	0.19	62.24	0.58	86.05	0.85	88.3	-0.17	45.6	0.62	83.04	0.15	68.34	NA	NA	69.96	58.39	63.47
THEM5	0.71	86.74	1.01	90.84	0.2	63.27	0.65	87.94	0.26	69.87	0.46	81.29	0.96	90.22	1.75	96.18	NA	NA	83.56	75.41	76.59
THEMIS2	0.02	60.8	-0.53	20.78	-0.28	32.44	-0.45	20.21	-0.77	13.46	0.1	67.15	-0.08	44.23	0.08	63.86	NA	NA	68.93	65.27	81.66
THRAP3	-0.2	40.99	-0.62	17.4	-0.45	24.24	-0.7	12.04	-0.57	19.93	-0.3	33.53	-0.58	18.98	-0.17	43.49	NA	NA	11.32	10.05	7.22
TIE1	-1.74	1.73	-1.97	1.83	-0.28	32.07	-1.82	1.9	-1.63	2.93	-1.74	1.59	-1.29	5.55	-1.25	4.66	NA	NA	2.61	3.76	4.74
TIMM17A	0.32	76.46	0.08	59.76	-0.01	49.09	0.39	78.9	0.22	68.16	0.44	80.53	0.07	56.4	0.27	73.56	-0.15	37.01	41.88	55.78	65.89
TINAGL1	-0.59	16.71	-0.69	15.12	-0.26	33.64	-0.19	34.15	-0.41	27.28	0.04	63.43	-0.38	27.1	-0.72	13.42	NA	NA	13.41	23.85	43.71
TIPRL	-0.08	52.75	0.1	61.28	-0.11	42.1	0.12	59.81	-0.16	43.78	-0.09	53.45	0.17	62.87	0.33	75.84	-1.16	11.27	34.13	32.47	28.94
TLR5	0.92	90.07	1.65	96.21	1.27	94.02	1.48	97.41	2.16	97.9	2.16	97.46	1.98	97.8	0.74	86.88	NA	NA	96.96	87.23	91.01
TMCC2	-0.57	17.51	-1.06	7.48	-0.91	11.06	-0.93	7.94	-1.12	7.05	-0.41	26.29	-1.51	4.09	-0.53	19.97	NA	NA	5.46	16.38	11.80
TMCO1	0.05	64.03	0.06	58	0.25	66.02	0.27	72.42	0.36	74.41	0	61.1	0.06	55.51	0.04	61.25	-1.13	11.73	43.73	40.02	51.04
TMCO2	0.76	87.79	0.37	74.95	0.36	72.17	0.42	80.35	0.26	69.87	0.46	81.29	0.32	71.39	0.27	73.56	-0.52	24.08	59.83	47.89	51.11
TMCO4	0.88	89.48	0.45	78.05	0.7	84.61	0.37	77.72	0.35	73.9	0.67	85.82	1.72	96.78	0.25	72.67	NA	NA	95.63	97.35	96.37
TMED5	0.58	83.98	0.08	60.09	-0.31	30.96	0.21	67.55	0.02	56.56	0.31	76.03	0.08	57.16	0.5	81.42	1.25	93.52	46.93	46.68	43.95
TMEM125	0.01	59.92	0.55	81.48	-0.31	30.62	0.58	86.22	0.41	76.62	0.08	66.58	0.77	86.82	-0.3	33.66	NA	NA	89.26	93.63	87.48
TMEM167B	0.08	65.66	0.1	60.96	0.19	62.02	0.3	74.46	0.11	62.04	0.08	66.94	0.16	62.02	0.1	65.33	NA	NA	51.77	49.48	50.14
TMEM183A	0.26	74.23	-0.01	53.19	-0.31	30.44	0.04	52.37	0.09	60.89	0.36	77.59	0.02	53.09	0.24	72.41	NA	NA	44.73	44.49	35.14
TMEM201	0.9	89.8	0.04	57.41	0.9	89.16	-0.09	41.67	-0.57	19.93	-0.3	33.53	0.26	68.6	0.76	87.19	NA	NA	31.88	31.98	29.47
TMEM206	-0.43	24.45	-0.45	24.19	-0.39	26.8	-0.01	48.61	-0.28	35.31	-0.41	27.43	-0.88	11.19	-0.57	18.55	NA	NA	16.99	17.72	26.01
TMEM222	-0.22	39.8	-0.12	44.89	0.21	63.85	0.24	70.23	-0.01	54.49	0.29	75.26	0.34	72.44	-0.42	25.91	0.18	51.75	63.56	66.06	71.10
TMEM234	0.32	76.46	0.55	81.22	0.28	67.87	0.95	93.48	0.63	83.48	0.46	81.29	0.22	66.59	0.21	71.22	NA	NA	61.59	53.77	64.92
TMEM240	0	59.32	0.21	67.72	0.24	65.12	0.49	82.98	0.29	71.41	-0.05	57.34	0.17	62.87	-0.05	53.64	-2.16	3.49	NA	NA	NA
TMEM39B	-0.52	19.77	-0.82	11.68	-0.64	17.48	-0.4	22.2	-0.82	12.27	-0.51	21.17	-0.44	24.06	-0.45	24.32	NA	NA	36.61	41.10	44.21
TMEM48	-0.68	13.66	-0.09	46.99	0.38	72.69	-0.29	27.7	0	54.9	0.06	64.99	0.17	63.02	-0.84	10.29	NA	NA	31.40	16.44	19.08
TMEM50A	-0.03	56.85	0.17	65.33	0.15	59.99	0.17	64.34	0.26	69.87	-0.07	55.41	0.06	55.51	0.04	61.25	-0.73	18.62	71.30	66.74	63.62
TMEM51	-0.36	29.16	-0.34	30.37	0.83	87.67	-0.22	32.69	-0.25	37.42	-0.38	28.74	-0.34	29.12	-0.54	19.74	NA	NA	34.02	73.38	63.39
TMEM52	0.59	84.31	0.1	61.49	0.17	61.25	-0.06	44.03	0.33	73.49	0.8	88.6	0.13	60.51	0.53	82.31	-0.47	25.65	70.29	65.07	79.72
TMEM53	-0.54	19.15	0.13	63.36	-0.53	20.98	0.16	63.43	0.44	77.82	-0.43	25.96	-0.28	32.19	-0.28	34.54	NA	NA	73.42	53.39	61.35
TMEM54	-0.01	58.66	0.06	58.74	0.23	64.87	0.29	74.07	0.27	70.41	0.23	72.83	-0.43	24.51	-0.6	17.35	NA	NA	74.07	70.43	63.04
TMEM56	-0.03	56.85	-0.1	46.2	0.15	59.99	0.15	62.8	0.04	58.08	0.04	64.23	0.12	59.86	-0.08	50.87	-0.13	37.92	42.27	29.67	32.66
TMEM57	-0.39	27.26	-0.63	17.03	-1.15	7.6	-0.25	30.64	-0.56	20.63	-0.34	31.62	-0.55	20.05	-0.36	29.59	NA	NA	6.29	7.99	6.05
TMEM59	-0.31	33.12	-0.25	35.75	0.12	57.55	-0.15	37.38	-0.01	54.49	0.29	75.26	-0.26	34.03	-0.33	31.71	NA	NA	20.53	40.70	40.76
TMEM61	-0.04	56.02	0.24	69.37	0.15	59.7	0.24	70.52	0.48	79.08	0.12	68.73	-0.24	35	-0.63	16.36	NA	NA	65.72	77.57	82.61
TMEM63A	0.3	75.39	0.58	82.34	0.52	78.48	0.36	77.54	-0.24	37.51	-0.28	34.84	0.32	70.92	0.39	77.72	NA	NA	39.25	49.91	64.54
TMEM69	-0.08	52.75	0.1	61.28	0.62	82.18	0.12	59.81	0.16	64.82	-0.13	49.82	0.32	71.39	-0.12	48.49	1.34	94.99	65.82	55.70	67.15
TMEM79	0.5	81.99	0.8	87.59	0.5	78.12	-0.36	24.13	0.11	61.7	0.42	79.46	0.81	87.66	0.64	84.68	NA	NA	92.71	97.48	95.79
TMEM81	0.51	82.21	0.71	85.53	0.66	83.37	0.41	79.88	0.23	68.74	0.74	87.36	0.69	85	0.26	73.05	NA	NA	78.62	82.01	79.47
TMEM82	0.59	84.15	1.15	92.56	0.89	89.02	0.59	86.31	1.25	93.36	-0.11	50.34	0.81	87.66	1.02	91.04	NA	NA	93.54	89.53	97.05
TMEM9	-0.05	55.48	-0.12	44.54	-0.32	30	0.14	61.38	-0.09	48.54	-0.05	57.34	-0.13	42.03	-0.08	50.87	-3.37	0.89	28.05	40.59	30.59
TMOD4	0.02	61.18	0.33	73.41	0.89	88.99	-0.27	29.64	0.17	65.36	-0.36	30.17	0.2	64.53	0.26	73.05	NA	NA	59.16	78.83	59.43
TNFAIP8L2	-0.2	40.89	-0.34	30.07	-0.48	22.93	-0.03	46.77	-0.42	26.73	-0.26	38.17	-0.17	38.94	-0.12	48.49	0.05	45.9	37.24	39.07	36.67
TNFRSF14	0.7	86.66	0.13	63.36	0.34	71.16	0.16	63.43	0.55	81.07	0.7	86.62	-0.03	48.91	0.73	86.61	NA	NA	54.31	58.79	39.09
TNFRSF1B	0.26	73.95	0.09	60.47	-0.17	38.28	-0.16	36.54	-0.13	44.96	0.51	82.39	0.49	78.77	1.06	91.47	NA	NA	72.66	67.85	87.34
TNFRSF25	0.29	75.08	0.35	74.49	0.34	71.16	0.45	81.45	0.11	61.7	-0.11	50.34	0.39	74.94	0.62	84.24	NA	NA	69.88	46.83	47.95
TNFRSF8	-0.73	12.13	0.18	66.24	-0.48	22.88	0.32	75.51	0.23	68.29	0.55	83.24	-0.18	37.84	-0.62	16.5	NA	NA	23.73	42.20	52.65
TNFRSF9	0.09	66.37	0.22	68.13	0.07	54.81	0.12	60.24	-0.08	49.36	-0.28	36.38	0.09	57.81	-0.03	54.84	NA	NA	45.19	70.79	59.51
TNFSF18	-0.18	43.45	-0.05	49.76	0.48	77	0.29	73.88	0.43	77.45	-0.19	43.65	0.18	63.51	-0.21	40.71	1.44	96.18	53.02	69.88	75.01
TNFSF4	-0.12	48.6	-0.23	36.86	-0.23	34.77	0.05	53.89	-0.29	34.57	-0.17	45.6	0.01	52.23	0.01	58.77	-0.71	19.1	40.55	46.73	42.60
TNN	1.07	91.65	1.51	95.43	1.39	95.24	-0.01	48.61	2.19	97.93	2.86	98.89	1.76	96.99	0.94	89.87	NA	NA	97.48	92.55	97.63
TNNI1	-0.15	45.9	0.24	68.98	-0.17	38.56	0.61	87.01	0.12	62.86	-0.15	47.68	-0.02	49.61	-0.18	43.38	-1.14	11.64	53.11	54.36	58.71
TNNI3K	-1.48	2.73	-0.35	29.59	-0.43	24.97	-0.08	42.59	-0.2	39.83	-1.32	3.48	-1.11	7.61	-1.13	5.85	NA	NA	30.32	34.70	21.43
TNNT2	0.16	69.92	-0.16	41.64	-0.16	39.3	-0.08	42.56	-0.11	46.94	0.23	72.83	-0.07	46.14	0.18	69.93	0.72	78.15	20.10	36.60	49.72
TNR	-0.02	57.05	-0.54	20.04	-0.52	21.2	-2.22	1.16	-1.31	4.95	-0.43	24.69	0.44	76.72	-0.65	15.56	NA	NA	36.49	44.07	34.36
TOE1	-0.22	39.07	-0.27	34.71	0.64	82.91	-0.24	30.91	-0.48	24	0	59.84	-0.27	32.44	-0.43	24.92	NA	NA	72.00	72.02	60.60
TOMM20	0.07	64.84	0.08	59.43	0	49.53	0.29	73.48	0.11	62.04	0.08	66.94	0.11	58.99	0.07	63.34	-3.56	0.64	45.95	42.43	43.67
TOMM40L	-0.2	40.89	-0.1	46.49	-0.33	29.65	-0.03	46.77	0.02	56.56	-0.21	41.76	-0.27	33.32	-0.18	43.38	-0.03	42.15	34.06	26.99	30.43
TOR1AIP1	0.5	81.99	0.31	72.66	0.07	54.32	-0.36	24.13	1.08	91.53	0.84	89.05	-0.23	35.31	0.37	77.3	NA	NA	33.42	22.95	19.05
TOR1AIP2	-0.66	14.11	-0.31	32.06	-0.75	14.4	-0.28	28.77	-0.25	37.42	-0.38	28.74	-0.8	12.74	-0.99	7.52	NA	NA	24.10	28.64	30.71
TOR3A	-0.62	15.69	-0.49	22.51	0.39	73.37	0.06	54.51	-0.41	27.28	-0.49	22.26	-0.67	16.31	-0.75	12.68	NA	NA	51.40	79.57	55.75
TP53BP2	-0.94	7.5	-1.13	6.56	-0.65	17.01	-0.5	17.83	-0.28	34.68	0.99	90.89	-1.24	6.05	-1.37	3.71	NA	NA	4.77	5.73	4.85
TP73	-1.27	4.02	-1.73	2.44	-2.01	2.25	-0.98	7.32	-1.9	1.97	-1.19	4.49	-2.04	2.05	-1.48	3.14	NA	NA	3.64	4.07	7.57
TPM3	-0.1	49.88	0.3	72.01	-0.19	37.08	0.66	88.32	-0.16	43.78	-0.09	53.45	0.32	71.39	0.27	73.56	-2.07	3.89	38.60	26.37	29.31
TPR	-1.53	2.47	-0.47	23.05	-1.87	2.65	-0.23	31.08	0.25	69.09	-1.17	4.54	-2.31	1.46	-1.06	6.52	NA	NA	1.13	1.20	0.78
TPRG1L	-0.2	40.89	-0.12	44.89	-0.04	46.93	0.24	70.23	-0.01	54.49	-0.24	39.98	-0.07	46.14	-0.21	40.71	-0.24	33.43	31.28	31.96	24.38
TRAF3IP3	0.64	85.56	0.29	71.5	-0.55	20.35	0.67	88.51	0.31	72.39	0.02	61.88	-0.32	29.71	0.31	74.98	NA	NA	43.47	52.88	44.00
TRAF5	-0.24	37.97	-0.05	50.34	0.46	76.2	-0.55	16.35	-0.45	25.49	-0.51	21.17	0.42	75.83	-0.07	51.29	NA	NA	63.33	70.37	58.69
TRAPPC3	0.01	60.6	-0.01	52.85	0.28	67.33	0.22	68.47	0.01	55.83	0.02	62.73	0.01	52.23	0.01	58.77	0.26	55.83	57.14	55.54	58.32
TRIM11	-0.64	15.22	-0.76	13.45	-1.1	8.04	-0.53	16.97	-0.93	9.98	-0.57	18.09	-0.91	10.63	-0.75	12.68	NA	NA	15.34	33.28	15.55
