GENE	ALL_0.1%	%ALL_0.1%	%OEratio	%ExAC_0.05%popn	OEratio-percentile[ExAC]	LoF-FDR[ExAC]	ExAC_v2_0.05%popn	%ExAC_v2_0.05%popn	Edge Case (ExAC_v2)	OEratio-percentile[ExAC_v2]
GABRG3	-0.09	46.74	NA	20.49	7.9591	0.000422349	-0.4012	31.4370	N	7.2715
GABRP	0.27	70.58	NA	65.76	50.2434	0.4518151	0.3632	66.1779	N	57.1644
GABRQ	-0.76	13.33	NA	15.24	85.6637	0.1856605	-0.0978	44.9843	N	82.6955
GABRR1	0.02	55.61	NA	39.91	59.0100	0.6775081	-0.1255	43.4604	N	54.7270
GABRR2	0.07	59.11	NA	87.24	70.3927	0.7987459	0.8404	82.6979	N	71.2326
GABRR3	-0.02	52.09	NA	NA	NA	NA	0.7366	79.9413	N	NA
GAD1	-0.51	21.56	NA	15.42	14.0155	0.01750199	-0.6795	21.5640	N	21.2876
GAD2	-0.11	45.36	NA	19.64	42.8485	0.004835642	-0.2951	35.9629	N	32.2063
GADD45A	-0.03	51.04	Y	38.17	4.3861	0.8247202	-0.3051	35.4936	Y	7.0573
GADD45B	-0.03	51.04	Y	43.96	9.8838	0.6586245	-0.1370	42.8837	Y	42.4362
GADD45G	0.21	67.72	Y	67.91	2.9148	0.4693224	0.1809	58.2209	Y	5.3725
GADD45GIP1	0.55	81.22	NA	90.55	53.8606	0.9001918	0.9499	85.0440	N	72.0604
GADL1	0.55	81.6	NA	89.26	83.9381	0.6399099	0.7951	81.5543	N	84.4381
GAGE1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE10	0.19	66.57	Y	68.79	64.2644	0.7917873	NA	NA	NA	NA
GAGE12C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE12D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE12E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE12F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE12G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE12H	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE12I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE12J	NA	NA	NA	NA	32.7544	0.9330804	NA	NA	NA	NA
GAGE13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE2B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE2C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE2D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAGE2E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GAK	-1.35	4.59	NA	20.8	43.5398	1.76E-06	0.1471	56.5885	N	47.9824
GAL	0.81	87.82	NA	72.48	80.2102	0.7083101	0.4414	69.4135	Y	75.3720
GAL3ST1	0.69	85.21	NA	76.9	16.6040	0.2264461	0.5613	73.9785	N	16.8182
GAL3ST2	NA	NA	NA	90.46	97.7765	0.9850345	0.7088	79.0518	N	95.1196
GAL3ST3	NA	NA	NA	28.88	51.6095	0.9997015	-0.4925	27.8495	N	75.3141
GAL3ST4	1.07	91.67	NA	68.48	54.8838	0.6008259	0.5639	74.0567	N	95.4611
GALC	0.85	88.48	NA	63.51	85.4148	0.1965945	1.1089	88.2209	N	79.1872
GALE	-0.56	19.73	NA	42.17	88.9712	0.919371	-0.5411	26.0313	N	69.5015
GALK1	-0.84	11.18	NA	55.22	52.0465	0.6036568	0.3308	64.7801	N	40.2941
GALK2	-0.18	40.36	NA	31.52	82.7655	0.1638204	-0.1909	40.4301	N	90.9859
GALM	-0.07	48.54	NA	48.88	81.3606	0.8831289	0.1414	56.3636	N	61.3153
GALNS	0.47	78.85	NA	71.98	58.6781	0.1239196	0.7959	81.5738	N	93.0238
GALNT1	-0.41	26.23	Y	14.75	17.6493	0.01594369	-0.6378	22.7957	N	17.5766
GALNT10	-1.2	5.79	NA	32.81	48.4458	0.2371545	0.0240	50.5865	N	26.1970
GALNT11	-0.44	24.63	NA	71.15	42.7489	0.0187087	0.6134	75.7869	N	46.7203
GALNT12	-0.73	14.08	NA	29.47	73.4237	0.5021427	0.1240	55.5230	N	72.2283
GALNT13	-0.18	40.16	NA	18.65	19.1593	0.006033868	-0.9074	15.4448	N	37.4978
GALNT14	-0.22	37.66	NA	65.37	39.5188	0.4985211	0.4225	68.5728	N	46.5929
GALNT15	-0.66	16.02	NA	18.84	88.1416	0.3960572	-0.0878	45.2884	N	81.4450
GALNT16	-0.51	21.73	NA	22.81	27.3949	0.03196471	-0.2624	37.3607	N	18.1092
GALNT18	-0.78	13.05	NA	8.04	27.9535	0.0510069	-0.5616	25.3275	N	24.1996
GALNT2	-0.56	19.73	NA	16.7	14.8673	0.004609047	-0.7267	20.2151	N	28.1364
GALNT3	-0.38	28.11	NA	17.13	64.9336	0.1084125	-0.6301	23.0010	N	51.9134
GALNT4	0.42	77.23	NA	35.97	72.5387	0.01610632	-0.2654	37.2434	N	44.3988
GALNT5	-0.33	30.9	NA	36.81	44.6073	0.4625814	0.1598	57.2434	N	53.5113
GALNT6	-0.55	19.93	NA	18.87	48.9823	0.2028354	-0.1802	40.8798	N	46.2687
GALNT7	0.44	77.85	NA	33.65	55.3374	0.1964392	-0.6255	23.1574	N	39.5704
GALNT8	1.63	96.04	NA	91.18	57.6659	0.6287683	1.7430	95.5034	N	74.5325
GALNT9	-0.67	15.76	NA	70.19	54.8617	0.1293891	NA	NA	NA	NA
GALNTL5	1.42	94.92	NA	92.01	86.2168	0.7037276	1.1553	89.2375	N	86.2792
GALNTL6	-0.82	11.68	NA	12.53	21.0785	0.1496595	-1.0914	11.3587	N	11.4051
GALP	0.48	79.04	NA	67.39	81.4934	0.7718845	0.2847	62.7664	Y	91.4722
GALR1	0.26	70.44	NA	39.82	96.0398	0.9438756	-0.2446	38.1427	N	90.6154
GALR2	1.17	92.7	NA	78.96	95.1881	0.8206544	0.4350	69.1300	N	90.9975
GALR3	NA	NA	NA	NA	34.8673	0.7585418	NA	NA	NA	NA
GALT	-0.14	43.77	NA	23.53	25.0996	0.4395005	-0.4412	29.8240	N	57.4538
GAMT	-0.09	46.74	NA	72.77	78.0476	0.9304361	0.4966	71.6129	N	95.1601
GAN	-0.6	18.14	NA	5.45	38.1582	0.003358603	-1.2317	9.2669	N	38.4704
GANAB	-0.66	16.02	NA	27.52	10.5642	1.08E-08	-0.0786	45.7087	N	10.4093
GANC	0.39	75.71	NA	90.63	74.0376	0.3435092	1.1862	89.7654	N	54.1076
GAP43	-0.45	24	Y	25.65	66.5321	0.42119	-0.2613	37.3998	N	57.7201
GAPDH	-0.4	26.53	NA	23.7	5.0885	0.2931583	-0.6149	23.5191	N	3.0221
GAPDHS	-0.13	43.91	NA	60.89	98.7279	0.09523859	0.1027	54.4575	N	97.6321
GAPT	0.19	66.82	Y	86.17	26.0509	0.7328044	0.6023	75.3666	N	56.9965
GAPVD1	-0.86	10.95	NA	2.04	20.5088	1.55E-12	-2.0019	3.1476	N	14.2824
GAR1	0.35	73.97	Y	64.15	53.6394	0.01788161	0.0509	51.9062	Y	64.1579
GAREM1	-0.73	14.2	NA	15.5	47.8872	0.000312438	-0.4486	29.5210	N	38.4820
GAREM2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GARNL3	-1.08	7.24	NA	9.03	16.9082	0.00206464	-1.3180	8.0645	N	26.0117
GARS	-0.71	14.57	NA	35	24.5077	0.000988083	-0.0988	44.7801	N	29.8269
GART	0.74	86.34	NA	56.92	53.2633	0.00031631	-0.0315	47.8592	N	41.3536
GAS1	NA	NA	NA	NA	11.4381	0.6039104	NA	NA	NA	NA
GAS2	0.19	66.82	Y	45.36	42.8982	0.0999205	-0.1689	41.4174	N	40.0162
GAS2L1	0.37	75.29	NA	48.16	37.4502	0.1487947	0.2927	63.1281	N	62.5659
GAS2L2	0.19	66.58	NA	95.43	45.2655	0.01911445	1.0128	86.5787	N	41.9151
GAS2L3	0.89	89.27	NA	41.62	47.8595	0.04580734	-0.4198	30.7331	N	55.0744
GAS6	-0.44	24.68	NA	54.89	48.7113	0.04124599	0.3655	66.2757	N	55.1265
GAS7	-0.54	20.54	NA	7.31	11.7478	0.2153839	-0.7336	20.0098	N	11.9667
GAS8	0.21	67.5	NA	96.92	75.0277	0.3350925	2.0526	97.1652	N	81.1498
GAST	0.39	75.87	Y	54.95	64.8894	0.7289784	0.2079	59.4233	Y	43.6751
GATA1	-0.6	17.75	NA	75.74	17.4004	0.06625673	-0.0723	46.8652	N	36.3400
GATA2	-0.42	25.56	NA	18.47	14.2754	0.009181721	-0.5567	25.4839	N	11.8393
GATA3	-0.65	16.36	NA	18.78	7.9369	0.04923482	-0.5723	24.9756	N	7.9430
GATA4	NA	NA	NA	68.72	23.8993	0.1770762	0.4380	69.2571	N	49.3313
GATA5	NA	NA	NA	NA	57.3285	0.3207722	0.3886	67.2239	N	36.3921
GATA6	NA	NA	NA	38.03	NA	NA	-0.1761	41.0655	N	NA
GATAD1	-0.01	53.19	Y	54.63	82.5387	0.5126455	-0.0857	45.3763	Y	50.5876
GATAD2A	-0.95	9.27	NA	5.43	25.2212	5.76E-05	-0.6050	23.8612	N	30.3653
GATAD2B	-0.07	48.54	NA	16.86	5.8241	0.000303144	-0.8047	17.9863	N	3.8615
GATB	0.36	74.66	NA	63.57	87.2124	0.7151318	0.5111	72.1603	N	64.4648
GATC	-0.1	46.49	Y	55.44	70.0111	0.9905209	0.1208	55.3666	Y	69.6000
GATM	-0.14	43.29	Y	19.82	16.7091	0.03550015	-0.6119	23.6266	N	14.7977
GATS	-0.25	35.42	Y	39.7	30.1659	0.8716819	-0.0830	45.5230	Y	20.1123
GATSL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBA	0.18	66.13	NA	31.56	18.6615	0.1503351	-0.2437	38.1720	N	24.0086
GBA2	-0.15	42.28	NA	23.9	41.6704	0.1336401	-0.7738	18.8074	N	36.6584
GBA3	0.78	87.14	NA	NA	NA	NA	NA	NA	NA	NA
GBAS	0.08	59.76	Y	31.5	14.9281	0.7413542	-0.2769	36.6960	N	30.0932
GBE1	0.62	83.53	NA	85.04	92.3451	0.718138	0.8229	82.2972	N	79.4014
GBF1	-3	0.54	NA	0.81	24.7179	0.00014839	-3.2413	0.8407	N	21.4207
GBGT1	1.67	96.3	NA	99.03	77.7212	0.6724227	2.4695	98.3969	N	99.7337
GBP1	-0.08	47.2	NA	69.94	65.2710	0.5590323	0.1974	58.9541	N	65.0090
GBP2	0.96	90.15	NA	56.2	55.3208	0.1093426	-0.0973	44.8583	N	54.1018
GBP3	3.02	99.23	NA	95.59	85.7633	0.8740945	2.0598	97.2043	N	85.4629
GBP4	1.76	96.73	NA	96.81	60.3927	0.6214232	0.6518	77.1065	N	49.2329
GBP5	0.53	81.01	NA	58.17	76.5929	0.1794044	0.1476	56.6276	N	69.4031
GBP6	1.29	93.88	NA	94.18	75.6139	0.534133	0.6005	75.3079	N	63.0811
GBP7	0.94	89.87	NA	89.38	68.2301	0.3814666	0.4267	68.7781	N	52.8744
GBX1	NA	NA	NA	78.89	62.8540	0.468597	0.4026	67.7517	N	74.5151
GBX2	-0.23	36.86	Y	42.54	96.3883	0.4313126	-0.2157	39.4037	N	94.4017
GC	0.04	57.31	NA	74.03	53.8551	0.209174	0.4886	71.3099	N	48.0924
GCA	0.53	80.58	NA	69.21	28.6836	0.3288389	0.0265	50.7429	N	35.5294
GCAT	0.85	88.42	NA	73.21	92.2511	0.8917078	0.6655	77.5562	N	90.0133
GCC1	0.25	69.57	NA	16.38	36.2998	0.5597966	-0.9229	14.9951	N	30.1627
GCC2	-1.63	2.86	NA	20.97	60.0442	2.66E-08	-1.1563	10.3030	N	42.6041
GCDH	-0.51	21.65	NA	13.11	84.7456	0.09146304	-0.4502	29.4526	N	90.9107
GCFC2	1.51	95.47	NA	98.86	58.5232	0.5169238	1.4025	92.6588	N	62.8264
GCG	0.04	56.64	Y	59.57	52.9591	0.1144475	-0.0332	47.7908	Y	29.0743
GCGR	0.19	67.03	NA	NA	6.4049	0.2927853	NA	NA	NA	NA
GCH1	-0.1	46.2	Y	46	3.7942	0.09092177	-0.2298	38.7781	Y	9.4888
GCHFR	-0.05	49.39	Y	40.88	11.3938	0.8112605	-0.1096	44.2522	Y	12.7540
GCK	-0.36	28.93	NA	7.53	4.2367	0.4328812	-0.8530	16.8426	N	8.0415
GCKR	-0.73	14.2	NA	55.67	68.9215	0.6805264	0.0544	52.1114	N	62.4559
GCLC	-0.47	23.43	NA	25.31	14.7954	0.01043851	-0.3974	31.6325	N	20.5755
GCLM	-0.16	41.25	Y	35.33	27.9701	0.312896	-0.2495	37.9374	Y	44.2251
GCM1	-0.09	46.92	NA	53.86	38.5066	0.001050031	0.0916	53.9589	N	34.2268
GCM2	1.16	92.59	NA	86.76	67.7765	0.2004351	0.8263	82.3754	N	43.5767
GCN1	-3.77	0.24	NA	0.27	12.7212	5.35E-13	-3.3411	0.7429	N	14.0856
GCNA	-0.35	29.43	NA	20.41	86.1007	0.001690454	0.1086	57.3668	N	83.8534
GCNT1	0.37	75.43	NA	22.61	28.1637	0.2230415	-0.4442	29.7067	N	39.5762
GCNT2	-1.3	4.95	NA	15.35	85.8573	0.08956662	-0.4470	29.5797	N	87.2634
GCNT3	0.45	77.98	NA	71.18	31.8805	0.4000088	0.1350	56.0411	N	44.9893
GCNT4	0.33	73.41	NA	15.72	84.7179	0.1690214	-0.7933	18.2796	N	88.8149
GCOM1	0.62	83.47	NA	90.7	61.0896	0.2417345	0.2336	60.5376	N	67.8458
GCSAM	-0.45	24	NA	80.81	43.0752	0.1972385	0.4513	69.8729	N	34.1921
GCSAML	0.33	73.11	NA	65.91	98.9104	0.4268312	0.3018	63.5386	Y	95.4553
GCSH	0.19	66.57	Y	49.8	91.0564	0.9481499	-0.1739	41.1730	Y	96.7116
GDA	0.02	55.45	NA	55.22	31.5653	4.40E-05	-0.3643	32.9912	N	40.3462
GDAP1	-0.69	14.97	NA	21.13	23.6283	0.538297	-0.4297	30.3324	N	25.7396
GDAP1L1	-0.16	42.06	NA	57.62	29.5188	0.2587648	0.0448	51.6129	N	27.0769
GDAP2	-0.6	17.91	NA	15.94	46.9690	0.07565737	-0.6609	22.0626	N	30.3943
GDE1	-0.25	35.75	NA	53.39	92.9480	0.8166591	-0.3655	32.9326	N	88.9075
GDF1	NA	NA	NA	NA	26.4159	0.6443926	NA	NA	NA	NA
GDF10	0.08	60.31	NA	30.01	51.2113	0.1784071	-0.5571	25.4741	N	47.8782
GDF11	-0.05	49.76	Y	29.67	14.7345	0.1077492	-0.3267	34.5455	N	14.9192
GDF15	0.73	86.08	NA	26.92	39.0265	0.9065695	-0.1875	40.5572	N	66.8789
GDF2	-0.38	27.88	NA	50.79	20.8573	0.1135692	0.0555	52.1799	N	30.8690
GDF3	0.42	76.96	NA	66.37	62.0188	0.1255577	0.2255	60.2151	N	56.0760
GDF5	-0.07	48.69	NA	59.76	17.7434	0.005138721	-0.2282	38.8465	N	40.8846
GDF5OS	NA	NA	NA	NA	12.6936	0.5562118	NA	NA	NA	NA
GDF6	NA	NA	NA	45.9	27.4668	0.07406482	-0.4381	29.9413	N	43.8198
GDF7	NA	NA	NA	NA	20.2157	0.3223852	NA	NA	NA	NA
GDF9	-0.02	52.09	NA	58.68	83.6117	0.5491361	0.1738	57.8690	N	63.1101
GDI1	-0.43	25.15	Y	7.54	1.2113	0.01853033	-1.2845	7.5235	N	0.5674
GDI2	-0.12	45.13	NA	54.44	33.4458	0.001304409	-0.0921	45.1124	N	56.4407
GDNF	0.19	66.82	Y	71.48	52.1571	0.2224131	0.0836	53.5582	N	31.1758
GDPD1	-0.19	39.68	Y	22.53	16.7146	0.2801271	-0.5134	27.0381	N	24.0665
GDPD2	0.06	58.74	NA	67.6	22.0575	0.1059079	0.1148	57.8370	N	5.9052
GDPD3	0.04	57.15	NA	81.09	71.0951	0.7352561	0.2597	61.6716	N	77.8498
GDPD4	1.73	96.57	NA	77.73	78.5841	0.5593254	0.1822	58.3187	N	65.2174
GDPD5	-1.28	5.11	NA	73.13	25.5199	0.04143085	0.3970	67.6051	N	15.8629
GDPGP1	0.84	88.38	NA	84.19	55.6637	0.8824345	0.5700	74.2326	N	36.2184
GEM	-0.01	53.51	NA	51.51	66.2611	0.3764619	0.1829	58.3480	N	59.2254
GEMIN2	0.02	55.22	Y	31.43	41.0619	0.1685034	-0.1217	43.6461	N	85.0808
GEMIN4	3.4	99.45	NA	98.7	67.0631	0.2425549	1.8794	96.3050	N	71.8347
GEMIN5	0.22	68.14	NA	88.13	63.6394	0.01948114	0.2242	60.1466	N	55.8502
GEMIN6	-0.07	48.12	Y	28	98.0586	0.4628347	-0.3225	34.7507	N	96.2890
GEMIN7	-0.05	49.39	Y	65.41	93.0310	0.3963529	0.0938	54.0567	Y	43.1193
GEMIN8	0.13	63	Y	57.84	22.3507	0.01662848	0.1017	56.8966	Y	33.4337
GEN1	2.2	98.13	NA	65.26	81.7754	0.1399343	0.2294	60.3617	N	62.5427
GET4	-1.27	5.24	NA	7.7	16.7367	0.0038222	-0.4613	29.0323	N	37.0868
GFAP	0.62	83.47	NA	56.58	82.5277	0.7581583	0.1354	56.0606	N	71.9504
GFER	NA	NA	NA	79.71	95.8518	1	0.6992	78.7488	N	97.2848
GFI1	0.33	73.27	NA	47.45	76.6261	0.6733145	0.0064	49.7263	N	94.7432
GFI1B	0.22	68.38	NA	80.15	14.8285	0.2028092	0.7868	81.3392	N	30.0353
GFM1	0.62	83.47	NA	16.96	32.9259	0.02630304	0.3510	65.6500	N	56.6086
GFM2	1.16	92.59	NA	96.61	79.2201	0.2448346	0.6830	78.1525	N	73.0446
GFOD1	-0.56	19.31	NA	10.85	13.5454	0.7654178	-0.8188	17.6637	N	10.8725
GFOD2	-0.67	15.76	NA	12.95	51.2666	0.3347783	-0.7279	20.1564	N	48.6887
GFPT1	-0.49	22.09	NA	14.89	3.2412	0.01556697	-0.7731	18.8172	N	3.1494
GFPT2	-0.82	11.94	NA	2.53	32.2843	0.3383416	-1.2872	8.4457	N	28.3738
GFRA1	-0.29	33.34	NA	28.03	25.9181	0.1287591	-0.2677	37.1065	N	23.1170
GFRA2	NA	NA	NA	60.74	33.7279	0.1028467	0.4236	68.6315	N	23.6786
GFRA3	-0.34	30.37	NA	29.94	25.3761	0.3460412	-0.2986	35.8065	N	20.2860
GFRA4	NA	NA	NA	NA	93.4513	0.9648366	NA	NA	NA	NA
GFRAL	0.95	90.06	NA	74.97	80.1770	0.2863521	0.2780	62.4633	N	73.2646
GGA1	-1.11	6.83	NA	3.9	33.8551	3.89E-06	-1.0575	11.9844	N	38.6904
GGA2	-0.98	8.85	NA	28.72	71.1062	0.2126748	-0.4506	29.4428	N	81.9892
GGA3	-0.64	16.71	NA	33.17	75.7633	0.001320407	-0.2718	36.9306	N	83.2513
GGACT	0.19	66.32	NA	NA	NA	NA	NA	NA	NA	NA
GGCT	0.1	61.28	Y	58.43	62.5498	0.8087042	0.0695	52.8348	Y	94.1990
GGCX	-0.71	14.78	NA	3.92	26.3772	0.1984992	-1.2747	8.6315	N	19.8171
GGH	0.31	72.23	NA	68.19	55.8850	0.04306878	0.2258	60.2248	N	55.6591
GGN	NA	NA	NA	78.71	97.0852	0.2138427	0.9142	84.3206	N	95.4669
GGNBP2	-0.93	9.47	NA	19.14	18.9657	5.01E-06	-0.5069	27.2630	N	9.0083
GGPS1	-0.32	31.46	Y	48.79	13.9325	0.08235539	-0.1430	42.5709	N	7.7520
GGT1	-0.09	46.92	NA	80.74	49.5077	0.3113938	0.2107	59.5406	N	43.9588
GGT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GGT5	-0.37	28.2	NA	34.59	40.1659	0.2503471	0.3757	66.7449	N	44.8967
GGT6	0.51	80.24	NA	79.71	77.0465	0.8387177	0.7525	80.3715	N	84.4845
GGT7	-0.64	16.53	NA	31.06	25.2378	0.000601554	-0.4434	29.7654	N	28.6053
GGTLC1	0.89	89.14	NA	82.75	93.1637	0.937396	0.4194	68.4360	N	89.7181
GGTLC2	NA	NA	NA	85.74	89.5299	1	1.3001	91.4076	N	86.7249
GH1	0.31	72.6	NA	81.86	22.1737	0.2462638	0.7742	80.9677	N	31.5290
GH2	0.71	85.63	NA	65.63	51.4325	0.7474005	0.1498	56.7546	N	91.9933
GHDC	0.2	67.3	NA	67.34	58.0144	0.3087538	0.3293	64.7214	N	38.0941
GHITM	-0.12	45.13	NA	31.87	55.6250	0.02794814	-0.4256	30.4888	N	40.6009
GHR	0.76	86.8	NA	71.78	82.2400	0.06528279	0.2871	62.8739	N	79.2740
GHRH	0.17	65.33	Y	63.49	12.8706	0.2375278	0.1182	55.2395	Y	22.7291
GHRHR	-0.29	33.42	NA	62.14	48.5066	0.09297325	0.2338	60.5572	N	98.7553
GHRL	0.62	83.14	NA	82.34	97.0409	0.800996	0.3060	63.7439	Y	93.9675
GHSR	-0.09	46.92	NA	43.68	57.4115	0.6063966	-0.2293	38.7977	N	35.9752
GID4	NA	NA	NA	42.75	8.0254	0.2335104	-0.1625	41.6911	Y	19.5507
GID8	-0.1	46.2	Y	26.7	2.0022	0.03443737	-0.4347	30.0880	Y	2.3158
GIF	0.69	85.18	NA	82.7	91.8363	0.03913102	0.7624	80.6354	N	74.5441
GIGYF1	-1.66	2.75	NA	0.95	19.0265	1.91E-08	-2.0342	3.0205	N	23.6265
GIGYF2	-1.15	6.33	NA	19.57	23.7721	7.04E-20	-0.6087	23.7537	N	29.4043
GIMAP1	0.28	71.27	NA	81.54	19.2312	0.1034572	0.1616	57.3412	N	59.3064
GIMAP1-GIMAP5	NA	NA	NA	NA	NA	NA	0.1209	55.3763	N	NA
GIMAP2	0.97	90.34	NA	78.05	89.6350	0.5284485	0.8126	82.0332	N	48.9376
GIMAP4	0.31	72.38	NA	56.95	79.1206	0.8179519	-0.0879	45.2786	N	86.0244
GIMAP5	0.11	61.73	NA	57.53	64.3529	0.07514172	-0.0095	48.9736	N	51.5197
GIMAP6	1.06	91.58	NA	97.49	32.0465	0.08101747	1.5363	94.0567	N	82.4640
GIMAP7	0.13	63.2	NA	55.62	25.0498	0.7654178	0.2486	61.2414	N	25.4849
GIMAP8	-0.02	52.25	NA	59.84	30.3540	0.2945809	0.4480	69.7067	N	39.4257
GIN1	0.6	82.66	NA	34.86	26.8252	0.08051329	-0.3647	32.9717	N	55.4681
GINM1	0.37	75.12	NA	58.64	87.2511	0.7968443	0.5878	74.8192	N	62.6180
GINS1	0.3	72.01	Y	55.12	34.5741	0.06700205	-0.2811	36.5200	N	44.9082
GINS2	-0.74	13.94	NA	50.5	71.6040	0.8821468	-0.0461	47.2336	N	63.8569
GINS3	-0.12	44.89	Y	68.54	78.0254	0.2211259	-0.0518	46.9697	N	44.1730
GINS4	-0.27	33.97	Y	51.62	46.0177	0.2465177	0.0052	49.6774	N	59.7812
GIP	0.53	80.73	NA	64.74	62.5719	0.2014076	0.2733	62.2678	Y	65.0842
GIPC1	0.11	61.73	NA	14.21	43.1471	0.3036105	-0.6792	21.5836	N	12.8930
GIPC2	-0.34	30.37	NA	78.47	89.9170	0.9514556	0.0049	49.6579	N	95.6464
GIPC3	-0.14	43.29	Y	55.62	89.4580	0.6387761	0.1532	56.9110	N	88.9249
GIPR	0.69	85.18	NA	93.18	95.7577	1	1.3804	92.4438	N	90.6617
GIT1	-1.4	4.19	NA	5.12	13.4624	0.000113469	-1.0419	12.2972	N	48.9492
GIT2	-0.51	21.73	NA	6.47	20.5918	0.000760433	-0.9324	14.7312	N	25.9480
GJA1	-0.27	34.32	NA	16.14	6.0675	0.04226246	-0.6321	22.9228	N	7.3873
GJA10	-0.2	39.11	NA	56.54	63.9657	0.8977302	0.1791	58.1232	N	69.6057
GJA3	NA	NA	NA	NA	15.8850	0.9905209	-0.5861	24.5161	N	42.1756
GJA4	0.4	76.31	NA	70.33	26.8473	0.2268445	0.2669	62.0039	N	34.1284
GJA5	-0.63	17.03	NA	14.65	43.4569	0.2283236	-0.7887	18.4262	N	29.2769
GJA8	-0.18	40.36	NA	34.8	68.0973	0.8179254	-0.3506	33.5973	N	50.7555
GJA9	0.95	90.06	NA	56.04	90.2378	0.5933187	-0.0468	47.2043	N	53.1755
GJB1	0.21	67.72	Y	60.21	7.6881	0.2720986	-0.2042	39.0282	Y	2.9294
GJB2	0.66	84.55	NA	97.58	96.8197	1	1.6333	94.8778	N	95.7274
GJB3	0.2	67.3	NA	84.59	98.3296	0.3659509	0.7156	79.2766	N	86.6207
GJB4	0.64	84.1	NA	98.09	81.4878	0.986168	1.9380	96.6276	N	43.1020
GJB5	-0.05	50.22	NA	79.49	57.8872	0.8048214	0.4479	69.6970	N	58.7391
GJB6	0.26	70.26	NA	43.83	53.3794	0.5947373	0.1247	55.5621	N	59.9201
GJB7	1.15	92.47	NA	88.01	99.2533	0.9816685	0.9525	85.1417	N	93.8575
GJC1	-0.12	44.89	Y	32.87	17.4115	0.01095319	-0.6845	21.4272	N	12.8408
GJC2	NA	NA	NA	34.84	22.1128	0.5389552	-0.2271	38.9052	N	14.0798
GJC3	0.19	67.03	NA	69.57	44.3086	0.60387	0.1688	57.6540	N	30.8458
GJD2	-0.27	34.32	NA	27.64	3.6228	0.3585567	-0.5020	27.4976	N	2.5415
GJD3	NA	NA	NA	NA	33.5232	0.999518	NA	NA	NA	NA
GJD4	NA	NA	NA	60.2	87.2235	0.9014815	0.5247	72.6784	N	48.7987
GK	-0.27	33.97	Y	11.24	4.8894	0.1695877	-1.0326	11.2853	N	4.1626
GK2	-0.09	47.06	NA	72.98	78.3573	0.7717668	0.3673	66.3539	N	70.7231
GK5	-0.58	18.44	NA	14.65	15.3706	0.03381127	-0.5921	24.2815	N	23.4181
GKAP1	-0.38	27.42	Y	38.82	44.5409	0.007473364	-0.1446	42.5024	N	32.0037
GKN1	-0.18	39.95	Y	45.71	33.8993	0.8135437	0.0011	49.4819	Y	28.3564
GKN2	0.55	81.38	NA	54.82	89.9281	0.4672398	0.1961	58.8759	N	86.9334
GLA	0.04	56.92	Y	83.28	13.3573	0.006984467	0.1521	60.0313	Y	7.9257
GLB1	0.58	82.25	NA	48.21	60.0885	0.3955594	-0.1289	43.2942	N	52.9207
GLB1L	-0.4	26.85	NA	51.48	53.9934	0.3964207	-0.3129	35.1613	N	71.1052
GLB1L2	-0.88	10.5	NA	77.47	68.5343	0.9243059	0.6701	77.7028	N	80.0672
GLB1L3	-0.86	10.89	NA	74.22	64.9668	0.4337966	0.5206	72.5318	N	54.6402
GLCCI1	-0.54	20.26	NA	15.48	81.2223	0.2548396	-0.6522	22.3656	N	93.5796
GLCE	0.09	60.47	NA	19.86	25.3706	0.0447017	-0.8092	17.8788	N	26.5964
GLDC	-0.67	15.41	NA	29.71	44.2976	0.2049669	-0.8889	16.0215	N	51.4155
GLDN	1.42	94.92	NA	84.02	72.3728	0.9720143	0.3886	67.2336	N	88.8902
GLE1	-0.09	47.06	NA	11.06	52.0686	0.1429918	-0.9039	15.5230	N	42.7720
GLG1	-1.68	2.65	NA	1.69	12.5608	2.90E-07	-1.8360	3.8123	N	15.1682
GLI1	-0.88	10.56	NA	12.62	64.0542	0.08235654	-0.8897	16.0020	N	46.0314
GLI2	-1.24	5.38	NA	38.73	77.6825	8.61E-06	0.7924	81.4663	N	90.1002
GLI3	-1.31	4.83	NA	0.51	53.9159	4.16E-10	-2.5685	1.6325	N	49.5745
GLI4	NA	NA	NA	33.81	69.3031	0.8660865	-0.1449	42.4927	N	83.5176
