GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratio	%OEratio	RVIS_ExAC_0.1%	RVIS_ExAC_0.05%popn
ANKRD39	-0.25	37.63	-0.14	43.29	-0.31	30.96	-0.08	42.56	0.09	60.89	-0.17	45.6	-0.6	18.44	-0.39	27.64	0.35	60.3	42.16	64.96
ANKRD44	0.02	61.18	-0.38	27.69	0.16	60.76	-0.25	30.64	-0.28	35.31	0.12	68.73	-0.01	50.36	0.06	62.42	NA	NA	29.78	16.80
ANKRD53	1.75	96.33	1.27	93.6	0.4	73.71	0.81	91.37	1.08	91.53	1.9	96.85	1.45	95.21	1.35	94.02	NA	NA	NA	62.20
ANKZF1	0.31	75.92	0.61	82.93	0.41	74.09	0.67	88.36	0.59	82.13	-0.24	38.28	0.85	88.37	0.03	60.21	NA	NA	92.8	82.86
ANO7	0.08	65.67	0.27	70.59	0.95	90.06	-0.5	18.15	1.2	92.85	0.06	64.26	-1.21	6.26	-0.55	18.73	NA	NA	66.54	95.87
ANTXR1	-0.88	8.72	-0.91	10.03	-0.63	17.74	-0.55	16.54	-1.05	8	-0.89	8.32	-1.05	8.4	-0.84	10.29	NA	NA	23.07	39.71
ANXA4	0.32	76.16	0.66	84.55	-0.01	48.7	0.77	90.79	0.92	89.6	0.17	70.35	-0.23	35.31	-0.01	56.62	NA	NA	80.88	56.20
AOX1	-1.23	4.25	-1.23	5.56	-0.3	31.36	-1.61	2.68	-0.97	8.98	-0.74	11.42	-1.01	8.98	-1.08	6.33	NA	NA	2.5	9.43
AP1S3	-0.08	52.75	1.3	93.94	0.76	86.04	0.68	88.74	1.33	93.98	0.95	90.62	0.81	87.57	-0.12	48.49	NA	NA	90.67	84.48
APLF	1.34	94.06	1.07	91.61	1.27	94.07	0.52	84.05	1.11	91.94	1.4	94.61	0.91	89.34	1.08	91.75	NA	NA	87.12	81.47
APOB	0.02	61.18	1.42	94.85	1.27	94.05	-1.4	3.64	0.44	77.52	-0.26	36.39	1.56	95.81	-1.65	2.33	NA	NA	47.94	12.44
ARHGAP15	-0.55	18.49	-0.62	17.16	-0.86	11.92	-0.43	20.77	-0.96	9.36	-0.6	17.16	-0.35	28.67	-0.39	27.64	NA	NA	7.73	9.18
ARHGAP25	-0.26	36.51	0.76	86.82	0.41	74.06	-0.47	19.01	0.09	60.27	0.17	69.79	0.61	82.56	0.42	78.73	NA	NA	70.17	82.26
ARHGEF33	0.16	69.92	1.06	91.47	1.59	96.53	0.5	83.25	1.16	92.48	0.84	89.23	1.02	91.14	-0.3	33.66	NA	NA	NA	NA
ARHGEF4	-0.73	12.13	-0.55	19.93	-0.62	17.78	0.32	75.51	-0.97	9.07	-0.55	18.37	-0.3	31.32	0.01	58.91	NA	NA	21.27	29.12
ARID5A	-0.74	11.95	-0.42	25.64	-0.22	35.46	-0.36	24.13	-0.47	24.26	-0.77	11.38	-0.24	35	-0.63	16.36	NA	NA	44.13	77.64
ARL4C	0.04	62.93	0.04	56.25	-0.08	44.21	0.25	71.16	0.04	58.08	0.04	64.23	0.06	55.51	0.04	61.25	-2.1	3.71	45.32	42.39
ARL5A	0	59.32	-0.03	51.04	0.24	65.12	0.2	67.15	-0.06	51	-0.02	59.11	0.21	65.81	-0.02	56.24	-1.33	9.26	42.16	44.79
ARL6IP6	-0.31	33.12	-0.01	53.51	0.12	57.55	-0.15	37.38	-0.01	54.49	0.29	75.26	0.23	67.12	-0.33	31.71	NA	NA	46.19	54.40
ARMC9	-0.27	35.3	0.25	69.62	0.08	54.97	-0.2	33.26	-0.66	16.46	-0.6	16.55	-0.29	31.84	-0.14	46.05	NA	NA	85.03	47.50
ARPC2	-0.15	45.9	-0.25	35.42	-0.6	18.36	0.04	52.37	-0.26	36.72	-0.15	47.68	-0.17	38.94	-0.12	48.49	-1.4	8.65	35.38	34.64
ASAP2	-1.03	6.34	-1.26	5.31	-1.91	2.5	-1.18	5.35	-1.19	6.09	-0.93	7.43	-1.01	8.95	-1.06	6.49	NA	NA	8.12	2.52
ASB1	-0.32	32.09	-0.52	21.2	-0.8	13.2	-0.17	36.22	-0.52	21.96	-0.32	33.13	-0.55	20.05	-0.36	29.59	NA	NA	40.96	28.56
ASB3	0.56	83.45	0.15	64.74	0.52	78.7	0.57	85.8	0.49	79.33	0.42	79.46	-0.18	38.03	0.02	59.28	NA	NA	49.83	44.91
ASIC4	0.24	73.1	0.4	76.45	0.51	78.15	0.49	82.86	0.68	84.41	0.59	84.23	-0.24	34.67	0.66	85.28	NA	NA	66.85	42.22
ASNSD1	0.03	62	0.22	68.44	0.05	53.23	-0.43	20.97	-0.23	37.79	-0.62	16.23	0.03	53.23	0.22	71.49	NA	NA	40.88	19.58
ASPRV1	-0.21	40.08	-0.25	36.07	-0.05	46.41	-0.23	31.93	0.08	59.61	-0.13	48.29	-0.28	32.19	-0.28	34.54	NA	NA	33.53	61.54
ASTL	0.86	89.2	0.71	85.73	-0.09	43.47	0.44	80.83	1.01	90.75	1.33	94.13	0.37	73.75	0.67	85.44	NA	NA	77.76	85.17
ATAD2B	-0.11	48.84	0.25	69.57	0.09	55.53	-0.31	26.93	-0.22	38.03	-0.32	32.03	1.11	92.35	-0.25	36.37	NA	NA	32.9	12.37
ATF2	-0.45	23.72	-0.71	14.4	-0.72	14.96	-0.32	26.55	-0.25	37.42	-0.38	28.74	-0.55	20.05	-0.36	29.59	NA	NA	25.87	27.42
ATG16L1	0.05	63.48	0.15	64.51	-0.34	29.35	0.07	55.79	0.13	63.39	0.15	69.59	-0.11	43.42	0	57.39	NA	NA	36.34	10.58
ATG4B	0.39	78.96	0.28	71.41	-0.1	42.76	-0.01	48.61	1.24	93.29	1.18	93.13	0.06	54.68	0.17	69.17	NA	NA	71.17	79.66
ATG9A	-0.6	16.37	-0.35	29.49	-0.55	20.15	-0.68	12.43	-0.36	29.5	-0.41	26.29	-0.74	14.05	-0.35	29.97	NA	NA	11.91	8.73
ATIC	-0.27	35.3	0.25	69.62	-0.36	28.54	-0.2	33.26	-0.77	13.46	-0.43	24.94	0.45	77.08	1.01	90.95	NA	NA	51.83	51.58
ATL2	0.57	83.8	-0.07	48.69	-0.02	48.17	-0.57	15.76	0.18	65.71	0.46	80.95	-0.03	48.91	0.34	76.13	NA	NA	68.66	58.00
ATP5G3	-0.05	55.48	-0.1	46.2	0.11	57.36	0.15	62.8	0.26	69.87	-0.07	55.41	-0.03	48.73	-0.02	56.24	-1.26	10.12	64.77	54.37
ATP6V1B1	0.14	68.87	-0.48	22.75	-0.65	17	-0.78	10.44	-0.15	43.9	0.55	83.24	-0.78	13.17	-0.14	46.05	NA	NA	57.63	23.07
ATP6V1C2	-0.22	39.07	-0.02	52.09	0.06	53.71	0.04	53.03	-0.3	33.48	-0.13	48.29	0.74	86.27	0.14	67.69	NA	NA	51.07	75.61
ATP6V1E2	-0.41	26.34	0.08	60.31	-0.17	38.72	0.6	86.71	-0.18	42.09	-0.34	31.62	-0.15	40.41	-0.42	25.91	NA	NA	56.41	78.24
AUP1	-0.05	54.71	0.22	68.27	-0.18	37.81	0.24	70.52	-0.58	19.72	-0.6	17.16	0.57	81.68	0.5	81.42	NA	NA	51.35	37.44
B3GALT1	-0.28	35.17	-0.23	37.11	-0.53	20.92	-0.13	38.52	-0.01	54.49	-0.24	39.98	-0.45	23.52	-0.3	33.66	-1.96	4.41	38.45	34.81
B3GNT2	0.06	64.52	-0.07	48.35	-0.3	31.49	-0.2	33.83	-0.32	32.45	-0.19	43.65	-0.43	24.51	-0.22	39.22	NA	NA	45.52	34.03
B3GNT7	-0.24	37.97	-0.05	50.34	-0.71	15.46	-0.26	29.85	-0.3	33.48	-0.13	48.29	0.49	78.77	0.29	74.24	NA	NA	67.75	34.84
BARD1	0.68	86.26	0.94	89.86	0.3	68.67	-0.05	44.71	1.11	91.94	0.87	89.39	-0.03	47.84	0.09	64.67	NA	NA	74.86	14.46
BAZ2B	-0.44	23.81	-1.42	4.06	-0.53	20.98	-0.98	7.33	-0.63	17.57	0.1	66.97	-1.38	4.78	-1.33	4	NA	NA	7.5	4.61
BBS5	-0.26	36.41	0.04	56.92	0.24	65.32	0.46	81.99	0.81	87.74	-0.19	43.65	-0.44	24.06	-0.45	24.32	0.39	62.28	77.23	42.28
BCL11A	-0.74	11.95	-1.16	6.17	-1.24	6.55	-0.65	13.23	-1.19	6.2	-0.74	11.96	-0.77	13.44	-0.66	15.3	NA	NA	4.22	3.05
BCL2L11	0.11	67.24	-0.25	35.75	-0.47	23.35	0.14	61.86	-0.56	20.63	-0.34	31.62	-0.12	42.85	0.15	68.34	NA	NA	28.86	30.57
BCS1L	-0.14	46.38	-0.62	17.16	-0.57	19.43	-0.43	20.77	-0.58	19.72	-0.6	17.16	0.38	74.58	0	57.39	NA	NA	34.95	69.21
BIN1	-0.38	27.54	-0.75	13.58	-0.82	12.75	-0.43	20.97	-0.91	10.17	-0.28	35.15	-0.9	10.83	-0.52	20.29	NA	NA	58.54	42.17
BIRC6	-3.54	0.18	-4.33	0.11	-6.92	0.04	-3.82	0.16	-3.31	0.3	-2.31	0.65	-5.06	0.1	-3.94	0.15	NA	NA	0.22	0.05
BMP10	-0.15	45.05	0.09	60.47	-0.17	38.28	0.13	60.5	-0.07	49.76	0.02	61.88	0.11	59.29	-0.34	30.52	NA	NA	77.82	52.77
BMPR2	-0.5	20.75	-0.93	9.61	0.02	51.01	-0.85	9.27	-1.05	8	-0.36	29.07	-0.27	32.44	-0.81	11.04	NA	NA	6.74	10.13
BOLA3	0.02	61.78	0.01	54.63	0.46	76.32	0.24	69.83	-0.06	51	-0.02	59.11	0.11	58.99	0.07	63.34	1.35	95.11	56.63	71.14
BOLL	0.24	72.99	0.17	65.56	0.04	52.51	0.56	85.57	0.16	64.82	-0.13	49.82	0.02	53.09	0.24	72.41	0.76	79.63	75.68	63.21
BRE	-0.38	28.24	0.35	74.37	0.35	71.6	0.91	92.93	0.41	76.62	-0.45	24.65	-0.4	26.25	-0.42	25.91	NA	NA	55.39	18.22
BUB1	-1.1	5.61	-1.22	5.64	-1.23	6.64	-0.78	10.44	-1.15	6.66	-0.96	7.3	-1.52	4.02	-1.15	5.69	NA	NA	1.9	6.23
BZW1	-0.1	49.88	-0.19	39.68	-0.19	37.08	0.09	56.76	-0.16	43.78	-0.09	53.45	0.12	59.86	-0.08	50.87	-0.05	41.09	NA	24.58
C1D	0.37	78.1	0.15	64.11	-0.03	47.43	0.15	62.8	0.26	69.87	0.46	81.29	0.17	62.87	0.33	75.84	-0.02	42.62	81.72	62.51
C2orf15	0.04	62.93	0.28	70.87	0.21	63.7	0.54	84.8	0.46	78.24	0.59	84.57	0.26	68.43	0.01	58.77	1.77	98.52	67.7	66.60
C2orf16	0.83	88.77	1.31	94	1.44	95.58	0.21	67.56	0.88	88.71	0.87	89.24	1.25	93.61	1.63	95.7	NA	NA	75.06	72.89
C2orf18	0.05	63.48	-0.34	30.37	-0.48	22.75	-0.22	32.69	-0.39	28.47	-0.24	39.98	-0.59	18.91	-0.15	44.42	NA	NA	27.1	20.92
C2orf28	0.98	90.72	0.53	80.73	0.38	72.97	0.19	66.09	1.09	91.74	1.33	94.2	0.14	61	0.38	77.69	NA	NA	NA	58.30
C2orf29	-0.22	39.8	-0.36	28.63	-0.08	44.38	-0.05	45.37	-0.46	24.98	-0.28	36.38	-0.22	36.04	-0.15	45.89	-0.76	18	23.13	63.42
C2orf40	0.29	75.38	0.77	86.95	0.79	86.66	0.65	87.94	0.57	81.74	-0.11	51.62	0.47	78	0.21	71.22	NA	NA	86.49	89.80
C2orf42	-0.62	15.69	0.24	69.46	0.97	90.39	-0.23	31.93	0.62	83.13	-0.55	18.99	-0.12	42.21	-0.49	21.68	NA	NA	18.97	25.92
C2orf43	-0.38	28.24	0.86	88.69	0.06	53.62	0.63	87.69	0.55	81.07	-0.36	30.17	0.87	88.84	0	57.39	NA	NA	84.24	73.37
C2orf44	-0.41	25.66	0.18	66.13	-0.03	47.7	-0.17	35.47	0.01	55.15	-0.17	44.12	0.27	69.18	-0.55	19.04	NA	NA	16.4	42.72
C2orf47	-0.22	39.8	-0.12	44.89	-0.22	35.28	0.24	70.23	-0.01	54.49	0.29	75.26	-0.07	46.14	-0.21	40.71	1.29	94.25	35.19	35.79
C2orf48	0.24	72.99	0.19	66.82	0.04	52.51	0.58	86.05	0.09	60.89	0.36	77.59	0.42	76.19	0.18	69.93	-0.69	19.39	71.47	50.37
C2orf49	0.58	83.98	0.57	81.99	0.42	74.69	0.5	83.25	0.3	72	0.78	88.15	0.57	81.68	0.5	81.42	NA	NA	70.41	68.86
C2orf50	0.22	72.38	0.9	89.39	0.44	75.35	0.56	85.57	0.06	58.83	-0.19	43.65	0.67	84.39	0.95	90.12	NA	NA	84.57	84.74
C2orf51	0.82	88.71	0.55	81.48	0.23	64.87	0.58	86.22	0.76	86.53	-0.47	23.43	0.63	83.41	0.77	87.44	NA	NA	90.35	88.62
C2orf53	0.13	68.41	0.6	82.78	-0.1	42.86	1.11	95.14	0.24	69.07	-0.02	57.92	0.18	63.69	0.16	68.78	NA	NA	84.56	86.70
C2orf54	-0.44	24.01	0.8	87.66	-0.11	42.46	0.37	77.9	0.37	74.52	0.1	67.15	-0.41	25.08	0.64	84.68	NA	NA	93.02	83.75
C2orf56	0.13	68.41	-0.36	29.31	-0.39	26.89	-0.02	47.36	-0.17	42.53	-0.57	18.09	-0.07	45.34	-0.07	51.29	NA	NA	25.35	53.85
C2orf57	1.31	93.9	1.02	91.02	0.61	82.07	0.49	82.83	1.45	94.86	0.55	83.48	0.88	88.88	0.75	87.02	NA	NA	92.51	90.43
C2orf61	0.92	90.03	1.19	92.89	1.09	92.09	1.57	97.74	1.12	92.1	1.35	94.39	1.18	92.94	0.65	84.92	NA	NA	74.02	91.86
C2orf62	-0.65	14.67	-0.58	18.72	-0.27	32.9	-0.28	28.77	0.04	57.38	-0.68	14.01	-0.57	19.2	-0.69	14.27	NA	NA	40.63	67.45
C2orf63	1.49	95.05	1.16	92.6	1.13	92.52	0.22	67.93	1.26	93.4	1.78	96.38	0.59	82.08	1.49	95.06	NA	NA	95.68	81.72
C2orf65	0.09	65.89	-0.42	25.64	-0.22	35.46	-0.36	24.13	-0.88	10.89	-0.79	10.81	0.25	68	0.14	67.69	NA	NA	36.45	21.95
C2orf66	-0.05	55.48	0.15	64.11	0.11	57.36	0.44	81.08	-0.12	46.17	-0.07	55.41	0.31	70.74	0.04	61.25	1.79	98.58	53.41	54.86
C2orf68	-0.13	47.18	0.5	79.89	0.16	60.65	0.63	87.53	0.26	69.87	-0.07	55.41	0.02	53.09	0.24	72.41	NA	NA	69.19	58.61
C2orf69	-0.05	55.48	0.39	75.87	0.55	79.77	0.44	81.08	0.29	71.41	-0.05	57.34	0.81	87.57	0.27	73.56	-0.36	29.22	67.26	72.81
C2orf70	0.45	80.65	0.11	61.73	0.5	77.67	0.04	52.78	0.2	67.14	0.72	86.98	0.44	77.01	-0.12	47.02	NA	NA	96.47	95.65
C2orf71	0.14	68.78	1.62	96.02	1.4	95.32	2.2	98.98	1.12	91.98	-0.28	34.76	1.13	92.46	0.46	79.98	NA	NA	94.7	96.17
C2orf73	0.86	89.28	0.62	83.25	0.35	71.6	0.35	76.89	0.82	87.88	1.16	92.91	0.83	87.95	1.12	92.22	NA	NA	NA	78.86
C2orf76	0.79	88.32	0.66	84.27	0.15	59.99	0.17	64.34	0.7	85.17	1.04	91.61	0.61	82.73	1.07	91.59	NA	NA	87.54	69.06
C2orf77	1.13	92.39	0.86	88.74	0.53	79.02	1.03	94.4	0.34	73.83	1.1	92.24	1.13	92.54	1	90.79	NA	NA	76.91	95.18
C2orf78	0.24	73.1	-0.09	47.12	-0.37	28.08	-0.37	23.36	-0.54	21.24	-0.81	10.28	0.19	64.19	0.39	78	NA	NA	9.18	38.62
C2orf80	0.96	90.53	0.77	87.01	0.2	62.79	0.46	81.99	-0.04	51.87	0.27	74.39	0.82	87.81	0.89	89.38	NA	NA	73.19	85.25
C2orf83	1.23	93.35	0.92	89.61	0.53	78.82	1.34	96.82	1.15	92.32	1.61	95.75	1.1	92.22	1.07	91.59	NA	NA	NA	83.40
C2orf88	0.48	81.52	0.32	72.94	0.44	75.26	0.29	73.48	0.42	76.98	0.57	84.1	0.4	75.14	0.48	80.71	1.17	92.2	66.93	70.79
CAB39	-0.18	43.45	-0.05	49.76	-0.25	33.9	0.29	73.88	-0.22	39.02	-0.13	49.82	-0.07	46.14	0.18	69.93	-1.61	6.74	31.38	29.22
CACNB4	-0.25	37.63	0.08	60.09	-0.31	30.96	0.21	67.55	0.4	76.21	-0.21	41.76	0.08	57.16	-0.27	35.97	-1.1	12.08	15.96	13.13
CAD	-3.12	0.29	-3.84	0.23	-5.18	0.11	-2.56	0.71	-3.36	0.29	-3.07	0.24	-3.74	0.31	-2.82	0.49	NA	NA	0.25	0.09
CALCRL	0.06	64.52	0.17	65.76	-0.01	49.25	-0.2	33.83	-0.15	44.43	-0.32	33.13	-0.06	46.82	0.03	60.12	NA	NA	77.23	49.00
CALM2	0.1	66.58	0.12	62.38	0.08	55.11	0.32	75.44	0.08	60.11	0.06	65.58	0.16	62.02	0.1	65.33	NA	NA	62.49	55.29
CAMKMT	-0.28	35.17	-0.45	24	-0.24	34.4	-0.11	39.74	-0.46	24.98	-0.28	36.38	-0.41	25.66	-0.27	35.97	-0.74	18.5	20.36	21.90
CAPG	0.22	72.1	0.51	80.2	-0.44	24.55	0.37	77.83	0.97	90.27	1.01	91.3	0.16	62.19	0.46	80.22	NA	NA	95.33	69.72
CAPN10	-0.64	14.78	-0.33	30.92	-0.1	42.96	-0.06	44.07	-0.16	42.61	-0.47	22.39	-1.29	5.55	-0.48	22.71	NA	NA	82.48	22.64
CAPN13	-0.2	40.91	-0.28	33.56	1.29	94.25	0.26	71.49	0.65	83.84	0.34	76.13	1.36	94.54	0.11	65.95	NA	NA	76.88	96.82
CAPN14	1.84	96.64	2.66	98.84	3.26	99.48	2.06	98.77	2.45	98.5	2.58	98.42	3.17	99.49	1.73	96.13	NA	NA	NA	NA
CASP10	0.56	83.45	-0.09	46.99	-0.21	36.35	-0.29	27.7	0.39	75.49	0.89	89.69	-0.08	44.23	0.08	63.86	NA	NA	39.52	56.50
CASP8	0.64	85.56	0.04	57.31	0.18	61.85	0.38	78.56	0.72	85.7	1.1	92.24	0.07	55.79	0.02	59.28	NA	NA	31.97	20.55
CCDC104	0.49	81.82	0.19	67.03	0.18	61.75	0.11	58.69	0.23	68.74	0.74	87.36	0.28	69.61	0.86	88.93	NA	NA	72.54	42.98
CCDC108	-0.75	11.37	-1.85	2.04	-0.38	27.38	-1.05	6.36	-2.4	1.02	-1.55	2.09	-0.98	9.32	-0.9	9.1	NA	NA	59.94	97.77
CCDC115	-0.15	45.9	-0.25	35.42	0.27	67.04	0.04	52.37	0.57	81.74	-0.11	51.62	-0.02	49.61	-0.18	43.38	0.74	78.87	32.1	41.63
CCDC121	-0.41	26.34	-0.18	40.16	-0.31	30.62	0.29	74.07	-0.18	42.09	-0.34	31.62	0.09	57.81	-0.03	54.84	NA	NA	64.98	44.67
CCDC138	0.31	76.01	-0.46	23.57	0.42	74.43	-0.29	27.84	-0.7	15.26	0.15	69.09	0.27	69.18	0.61	83.97	NA	NA	23.82	19.63
CCDC140	0.35	77.59	0.37	74.95	0.36	72.17	0.71	89.46	0.22	68.16	-0.09	53.45	0.32	71.39	0.27	73.56	2.11	99.34	78.52	58.61
CCDC142	-0.13	47.38	1.2	93.01	0.34	70.74	1.7	98.12	0.63	83.31	-0.26	36.81	0.73	85.94	0.04	61.38	NA	NA	90.54	74.64
CCDC148	0.31	76.01	1	90.72	0.71	84.75	0.86	92.3	0.22	67.66	0.78	87.91	1.57	95.89	-0.05	53.8	NA	NA	65.28	92.00
CCDC150	-0.23	38.8	0.16	64.97	-0.1	42.96	0.23	68.81	-1.37	4.4	-0.81	9.98	0.46	77.33	0.86	88.97	NA	NA	51.44	92.77
CCDC164	0.59	84.32	0.9	89.31	1.21	93.46	0.52	83.82	0.83	87.91	0.74	87.01	0.92	89.53	0.53	81.99	NA	NA	87.02	95.46
CCDC74A	-0.03	57.02	1.84	97.1	2.22	98.48	2.1	98.83	2.11	97.78	0.25	73.1	2.29	98.57	0.1	65.52	NA	NA	98.57	99.41
CCDC74B	0.26	73.75	0.91	89.54	1.27	94.08	0.8	91.14	0.4	75.85	-0.41	26.29	0.93	89.69	0.39	78	NA	NA	98.59	98.08
CCDC75	0.24	72.99	-0.07	48.12	0.48	77	0.27	72.76	0.43	77.45	0.34	76.81	0.56	81.33	0.27	73.56	0.82	82.55	63.96	71.29
CCDC85A	0.39	78.96	0.04	57.15	0.19	62.35	0.57	85.7	0.17	65.36	0.7	86.62	0.54	80.6	0.71	86.28	NA	NA	27.87	23.73
CCDC88A	-1.23	4.29	-1.57	3.19	-1.02	9.25	-1.7	2.29	-1.77	2.38	-0.53	19.06	-0.8	12.59	-0.86	9.77	NA	NA	3.17	1.41
CCDC93	0.81	88.62	-0.09	47.06	0.95	90.06	0.1	57.44	0.15	64.12	0.74	87.11	0.23	66.71	0.58	83.24	NA	NA	65.2	57.49
CCL20	0.05	64.03	0.3	71.81	0.25	66.02	0.56	85.38	0.08	60.11	0.06	65.58	0.35	72.99	0.07	63.34	1.46	96.42	68.01	67.12
CCNT2	-0.56	17.89	-0.89	10.3	-1.05	8.81	-0.45	20	-0.76	13.85	-0.47	23.43	-0.92	10.37	-0.6	17.35	NA	NA	13.82	11.62
CCNYL1	-0.22	39.8	-0.36	28.63	-0.22	35.28	-0.05	45.37	-0.36	30.26	-0.21	41.76	0.02	53.09	-0.15	45.89	0	43.37	34.73	46.02
CCT4	-0.62	15.69	-0.98	8.75	-0.77	13.81	-0.52	17.53	-0.86	11.45	-0.53	20.14	-1.06	8.16	-0.69	14.27	NA	NA	32.33	29.37
CCT7	-0.66	14.11	-0.8	12.33	-1.04	8.92	-0.57	15.76	-0.61	18.5	-0.62	16.23	-0.96	9.8	-0.78	11.79	NA	NA	25.69	16.99
CD28	-0.16	44.62	-0.07	48.12	0.23	64.77	-0.01	48.28	-0.36	30.26	-0.21	41.76	0.32	71.39	-0.12	48.49	-1.86	5.03	31.38	66.96
CD302	0.32	76.46	0.33	73.11	-0.01	49.09	0.68	88.74	0.26	69.87	-0.07	55.41	0.27	69.07	0.62	84.46	-0.57	22.63	67.26	41.04
CD8A	0.28	74.82	0.01	54.95	0.31	69.3	0.34	76.64	-0.26	36.72	-0.15	47.68	-0.07	46.14	0.18	69.93	0.17	51.31	62.09	51.22
CD8B	0.99	90.88	1.55	95.6	0.86	88.47	1.36	96.92	1.5	95.17	1.35	94.39	0.83	87.95	1.12	92.22	NA	NA	NA	65.89
CDC42EP3	-0.33	31.07	-0.29	32.94	0.18	61.75	-0.18	35	-0.39	28.47	-0.24	39.98	-0.15	40.41	-0.42	25.91	NA	NA	22.96	30.68
CDCA7	-0.43	24.45	-0.69	14.97	-0.98	9.8	-0.3	27.45	-0.56	20.63	-0.34	31.62	-0.49	22.27	-0.48	22.63	NA	NA	14.09	15.49
CDK15	-0.21	40.08	-0.02	52.09	0.83	87.69	0.33	76.16	-0.27	35.59	-0.11	50.34	0.36	73.21	-0.34	30.52	NA	NA	19.15	74.17
CDKL4	-0.02	57.41	0.04	57.15	-0.1	42.76	0.57	85.7	0.51	80.13	-0.38	28.74	-0.29	31.79	-0.12	47.02	NA	NA	82.42	77.62
CEBPZ	-0.57	17.38	0.25	69.69	-0.19	37.48	0.01	49.54	0.35	73.9	-0.38	27.54	0.2	64.62	-0.53	19.97	NA	NA	9.21	19.86
CENPA	0	59.32	-0.03	51.04	0.38	72.85	0.2	67.15	0.08	60.11	0.06	65.58	0.07	56.4	-0.12	48.49	0.32	58.71	59.81	69.76
CENPO	-0.19	41.28	0.02	55.61	0.58	80.87	-0.21	32.96	0.38	75.31	0.06	64.99	-0.03	48.91	-0.04	54.08	NA	NA	79.1	69.63
CEP68	1.05	91.44	0.72	85.85	0.46	76.24	0.28	72.79	1.03	90.99	1.4	94.56	1.07	91.81	0.47	80.26	NA	NA	92.3	88.55
CERKL	0.44	80.45	0.71	85.73	-0.09	43.47	-0.14	37.87	0.08	59.61	-0.13	48.29	0.67	84.49	0.93	89.84	NA	NA	80.15	91.97
CERS6	-0.07	53.25	0.22	68.27	-0.08	44.5	-0.06	44.44	0.31	72.39	0.02	61.88	0	50.86	-0.09	49.52	NA	NA	36.25	33.21
CFLAR	0.48	81.45	0.17	65.76	-0.15	39.85	0.09	57.11	-0.08	49.36	0.25	73.58	0.15	61.42	0.23	71.94	NA	NA	29.78	39.35
CGREF1	0.75	87.44	0.44	77.8	0.17	61.36	0.79	91.07	0.79	87.3	0.61	84.96	0.06	54.68	0.17	69.17	NA	NA	63.16	54.93
CHAC2	-0.33	31.07	-0.07	48.35	0.03	52.05	0.09	57.11	-0.15	44.43	-0.32	33.13	-0.12	42.85	-0.24	38.27	NA	NA	41.23	58.81
CHCHD5	-0.06	54.08	0.13	62.74	0.36	72.17	0.14	61.38	-0.12	46.17	-0.07	55.41	0.17	62.87	-0.05	53.64	0.58	71.72	38.64	71.43
CHMP3	-0.16	44.62	-0.27	33.97	-0.06	45.25	0.02	50.88	-0.26	36.72	-0.15	47.68	-0.27	33.32	-0.18	43.38	0.55	70.35	36.84	30.94
CHN1	-0.33	31.07	-0.54	20.26	-0.98	9.71	-0.18	35	-0.49	23.35	-0.3	34.73	-0.5	21.74	-0.33	31.71	NA	NA	19.48	24.48
CHPF	-0.34	30.24	-0.86	10.89	1.04	91.37	-0.88	8.81	-1.32	4.93	-0.53	19.25	-0.8	12.59	-0.48	22.71	NA	NA	25.13	23.33
CHRNA1	-0.27	35.57	-0.33	30.7	-0.5	22.19	-0.29	27.7	-1.06	7.87	-0.66	14.79	0.21	65.23	0.49	80.99	NA	NA	28.79	20.87
CHRND	-0.88	8.72	-0.4	26.93	-0.04	46.46	0.34	76.2	0.5	79.51	-0.87	8.82	-1.14	7.2	-1.06	6.66	NA	NA	73.85	83.24
CHRNG	-0.64	14.9	-0.42	25.79	0.49	77.4	-0.15	36.77	-0.08	48.7	-0.47	22.65	-0.01	50.46	-0.73	13.02	NA	NA	33.47	60.02
CHST10	-0.18	42.6	0.53	80.88	0.47	76.79	0.09	57.32	-0.48	24	-0.53	20.14	0.65	83.92	0.85	88.78	NA	NA	68.5	66.85
CIAO1	-0.48	22.15	-0.27	34.6	-0.37	27.94	-0.06	44.44	-0.25	37.42	-0.38	28.74	-0.48	22.63	-0.63	16.36	NA	NA	19.48	72.25
CIB4	0.04	62.41	0.13	63.2	0.2	63.38	0.06	54.31	0.07	59.28	0.1	67.67	0.28	69.61	0.09	64.59	NA	NA	68.07	63.15
CIR1	0.19	71.21	-0.12	44.89	0.21	63.85	0.24	70.23	0.43	77.45	-0.19	43.65	-0.07	46.14	0.18	69.93	0.27	56.06	71.35	34.50
CKAP2L	1.34	94.03	1.38	94.62	0.54	79.33	1.17	95.62	1.71	96.32	2.64	98.48	0.99	90.71	1.66	95.85	NA	NA	92.57	88.34
CLEC4F	2.02	97.23	3.14	99.29	1.3	94.34	1.02	94.27	1.54	95.33	1.18	93	2.6	99	1.89	96.71	NA	NA	98.78	98.56
CLIP4	-0.5	20.75	-0.2	39.17	-0.56	19.76	-0.27	28.9	0.25	69.27	-0.26	36.81	-1.27	5.79	-0.53	19.97	NA	NA	60.55	13.61
