CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)	EdgeCase_EVS	OEratio%tile_EVS
GLIPR2	GLIPR2	GLIPR2	GLIPR2	GLIPR2	0.148430386	60.90756497	Y	74.86147916
CCIN	CCIN	CCIN	CCIN	CCIN	0.166608064	62.25617873	N	36.08166707
CLTA	CLTA	CLTA	CLTA	CLTA	-0.237096056	33.23493662	Y	90.67092267
GNE	GNE	GNE	GNE	GNE	-1.040748883	7.362389304	N	26.07805348
RNF38	RNF38	RNF38	RNF38	RNF38	-0.917973275	9.260867049	Y	3.107684895
MELK	MELK	MELK	MELK	MELK	-0.392441253	24.83648782	N	23.99421826
PAX5	PAX5	PAX5	PAX5	PAX5	0.008742604	50.21705157	N	6.618887015
ZCCHC7	ZCCHC7	ZCCHC7	ZCCHC7	ZCCHC7	1.080244383	93.7431267	N	77.4813298
GRHPR	GRHPR	GRHPR	GRHPR	GRHPR	-0.063416885	44.9036291	N	20.53721995
ZBTB5	ZBTB5	ZBTB5	ZBTB5	ZBTB5	-0.69735199	14.02442554	N	23.13900265
POLR1E	POLR1E	POLR1E	POLR1E	POLR1E	0.258406299	67.95161197	N	51.45145748
FRMPD1	FRMPD1	FRMPD1	FRMPD1	FRMPD1	1.026815315	93.11801817	N	66.37557215
DCAF10	DCAF10	DCAF10	DCAF10	DCAF10	-0.159194457	38.09110378	Y	26.74054445
SLC25A51	SLC25A51	SLC25A51	SLC25A51	SLC25A51	-0.17611458	36.99137582	Y	47.30787762
ALDH1B1	ALDH1B1	ALDH1B1	ALDH1B1	ALDH1B1	0.070026176	54.89378943	N	51.95735967
PGM5	PGM5	PGM5	PGM5	PGM5	0.252816761	67.59854141	N	40.26740544
FAM122A	FAM122A	FAM122A	FAM122A	FAM122A	-0.250187888	32.45355096	Y	43.4232715
PIP5K1B	PIP5K1B	PIP5K1B	PIP5K1B	PIP5K1B	-0.29042075	30.03993749	N	48.20525175
PRKACG	PRKACG	PRKACG	PRKACG	PRKACG	-0.123440781	40.55680963	N	89.83377499
FXN	FXN	FXN	FXN	FXN	0.23846774	66.7534873	Y	76.22861961
TJP2	TJP2	TJP2	TJP2	TJP2	0.052605923	53.53938763	N	65.55649241
FAM189A2	FAM189A2	FAM189A2	FAM189A2	FAM189A2	0.523884453	81.41459744	N	95.88653337
APBA1	APBA1	APBA1	APBA1	APBA1	-1.583775091	2.899808995	N	43.32088653
MAMDC2	MAMDC2	MAMDC2	MAMDC2	MAMDC2	0.485563343	79.92128263	N	64.93013732
SMC5	SMC5	SMC5	SMC5	SMC5	-0.895977359	9.666029982	N	81.70922669
KLF9	KLF9	KLF9	KLF9	KLF9	-0.002587674	49.23887249	Y	52.81859793
TRPM3	TRPM3	TRPM3	TRPM3	TRPM3	-1.705301859	2.4309776	N	31.13105276
TMEM2	TMEM2	TMEM2	TMEM2	TMEM2	-1.260688934	5.047172542	N	52.89086967
C9orf85	C9orf85	C9orf85	C9orf85	C9orf85	0.148430386	60.90756497	Y	48.54854252
GDA	GDA	GDA	GDA	GDA	0.24898988	67.40753603	N	89.40616719
ZFAND5	ZFAND5	ZFAND5	ZFAND5	ZFAND5	0.010504826	50.32702437	Y	6.052758371
TMC1	TMC1	TMC1	TMC1	TMC1	-0.755465733	12.47323031	N	56.94410985
ALDH1A1	ALDH1A1	ALDH1A1	ALDH1A1	ALDH1A1	-0.320432866	28.29194883	N	48.18718381
ANXA1	ANXA1	ANXA1	ANXA1	ANXA1	-0.109391694	41.51183655	N	48.01854975
RORB	RORB	RORB	RORB	RORB	-0.529716584	19.0195057	Y	18.18838834
TRPM6	TRPM6	TRPM6	TRPM6	TRPM6	-1.410574746	3.866411993	N	31.95615514
C9orf40	C9orf40	C9orf40	C9orf40	C9orf40	0.099585278	57.16270186	Unassessed	Unassessed
C9orf41	C9orf41	C9orf41	C9orf41	C9orf41	-0.621669727	16.13127279	Y	36.40688991
NMRK1	NMRK1	NMRK1	NMRK1	NMRK1	0.422369205	76.96359322	N	95.33847266
OSTF1	OSTF1	OSTF1	OSTF1	OSTF1	0.141883914	60.31139665	Y	7.86557456
PCSK5	PCSK5	PCSK5	PCSK5	PCSK5	-0.076414421	43.94281415	N	13.67140448
GCNT1	GCNT1	GCNT1	GCNT1	GCNT1	-0.502420818	20.06714129	N	49.78318477
VPS13A	VPS13A	VPS13A	VPS13A	VPS13A	-2.891648909	0.642472652	N	46.78993014
GNA14	GNA14	GNA14	GNA14	GNA14	0.28091539	69.36968224	N	18.4895206
GNAQ	GNAQ	GNAQ	GNAQ	GNAQ	-0.002587674	49.23887249	Y	3.330522766
PSAT1	PSAT1	PSAT1	PSAT1	PSAT1	-0.184421636	36.49360421	N	93.33895447
TLE1	TLE1	TLE1	TLE1	TLE1	-1.020958787	7.611275106	N	9.262828234
RASEF	RASEF	RASEF	RASEF	RASEF	-0.083860557	43.30034149	N	84.1785112
UBQLN1	UBQLN1	UBQLN1	UBQLN1	UBQLN1	-0.691914915	14.19227875	N	33.85328836
KIF27	KIF27	KIF27	KIF27	KIF27	0.322878573	71.90484459	N	72.54276078
C9orf64	C9orf64	C9orf64	C9orf64	C9orf64	0.071637002	55.02112635	N	96.13948446
HNRNPK	HNRNPK	HNRNPK	HNRNPK	HNRNPK	-0.787699492	11.80181745	Y	2.330763671
RMI1	RMI1	RMI1	RMI1	RMI1	-0.003241475	49.17520403	N	54.70368586
SLC28A3	SLC28A3	SLC28A3	SLC28A3	SLC28A3	0.275477688	69.03397581	N	43.08600337
NTRK2	NTRK2	NTRK2	NTRK2	NTRK2	-1.18332098	5.759101696	N	4.9626596
AGTPBP1	AGTPBP1	AGTPBP1	AGTPBP1	AGTPBP1	-1.201865964	5.550732187	N	42.27294628
NAA35	NAA35	NAA35	NAA35	NAA35	-0.197513786	35.67170226	N	34.09419417
CTSL1	CTSL1	CTSL	CTSL	CTSL	0.221697584	65.72321584	N	56.4562756
FAM75E1	SPATA31E1	SPATA31E1	SPATA31E1	SPATA31E1	2.188800024	98.84239162	N	Unassessed
CDK20	CDK20	CDK20	CDK20	CDK20	0.068917845	54.82433293	N	16.44784389
NXNL2	NXNL2	NXNL2	NXNL2	NXNL2	0.191535973	63.89419459	Y	97.06697181
S1PR3	S1PR3	S1PR3	S1PR3	S1PR3	-0.122483898	40.59153788	N	24.64466394
SHC3	SHC3	SHC3	SHC3	SHC3	-0.60555081	16.60010418	N	18.70031318
CKS2	CKS2	CKS2	CKS2	CKS2	0.030143764	51.8087631	Y	24.77716213
SECISBP2	SECISBP2	SECISBP2	SECISBP2	SECISBP2	-1.125869983	6.332117845	N	49.80727536
SEMA4D	SEMA4D	SEMA4D	SEMA4D	SEMA4D	-0.535665729	18.75325577	N	56.17923392
GADD45G	GADD45G	GADD45G	GADD45G	GADD45G	0.259064403	67.99212826	Y	9.533847266
DIRAS2	DIRAS2	DIRAS2	DIRAS2	DIRAS2	-0.291531924	29.91838861	Y	6.522524693
SYK	SYK	SYK	SYK	SYK	-0.4732126	21.32314638	N	4.745844375
AUH	AUH	AUH	AUH	AUH	0.17380942	62.79446663	Y	53.59551915
NFIL3	NFIL3	NFIL3	NFIL3	NFIL3	-0.396420408	24.5991781	N	17.22476512
ROR2	ROR2	ROR2	ROR2	ROR2	0.29845321	70.38837761	N	54.39050831
SPTLC1	SPTLC1	SPTLC1	SPTLC1	SPTLC1	-0.484543364	20.78485848	N	56.36593592
IARS	IARS	IARS	IARS	IARS	-1.173494473	5.86328645	N	49.98795471
OGN	OGN	OGN	OGN	OGN	-0.462188395	21.78618973	Y	45.6516502
OMD	OMD	OMD	OMD	OMD	0.466579567	79.16883718	N	81.01059986
ECM2	ECM2	ECM2	ECM2	ECM2	0.070983022	54.94588181	N	81.72127198
IPPK	IPPK	IPPK	IPPK	IPPK	0.00793724	50.1244429	N	35.28065526
BICD2	BICD2	BICD2	BICD2	BICD2	-1.029274527	7.495514268	N	32.82943869
SUSD3	SUSD3	SUSD3	SUSD3	SUSD3	0.902731639	91.12693176	N	78.48108889
C9orf89	C9orf89	C9orf89	C9orf89	C9orf89	0.324827936	72.00902935	N	61.54541074
NINJ1	NINJ1	NINJ1	NINJ1	NINJ1	0.24597088	67.24547086	N	32.98602746
FAM120AOS	FAM120AOS	FAM120AOS	FAM120AOS	FAM120AOS	0.414865996	76.60473462	N	92.08624428
FAM120A	FAM120A	FAM120A	FAM120A	FAM120A	-1.702899586	2.436765642	N	23.67501807
PTPDC1	PTPDC1	PTPDC1	PTPDC1	PTPDC1	0.735238353	87.74671529	N	84.50373404
ZNF169	ZNF169	ZNF169	ZNF169	ZNF169	-0.316453863	28.4945303	N	91.59841002
HIATL1	HIATL1	HIATL1	HIATL1	HIATL1	-0.051129725	45.70237889	N	39.90002409
FBP2	FBP2	FBP2	FBP2	FBP2	0.780909061	88.81750304	N	43.3028186
FBP1	FBP1	FBP1	FBP1	FBP1	0.050084766	53.41783875	N	27.31871838
C9orf3	C9orf3	C9orf3	C9orf3	C9orf3	-0.277025306	30.8155351	N	92.65839557
PTCH1	PTCH1	PTCH1	PTCH1	PTCH1	-0.705115216	13.79290386	N	34.39532643
HSD17B3	HSD17B3	HSD17B3	HSD17B3	HSD17B3	-0.338310159	27.33692192	N	51.58997832
SLC35D2	SLC35D2	SLC35D2	SLC35D2	SLC35D2	-0.121679336	40.63205418	N	28.8424476
ZNF367	ZNF367	ZNF367	ZNF367	ZNF367	-0.20804097	35.04659374	Unassessed	Unassessed
HABP4	HABP4	HABP4	HABP4	HABP4	0.078183267	55.57099033	N	20.42881233
CDC14B	CDC14B	CDC14B	CDC14B	CDC14B	-0.243488712	32.84134977	N	54.53505179
CTSL2	CTSL2	CTSV	CTSV	CTSV	0.284591847	69.63014412	N	17.27294628
TDRD7	TDRD7	TDRD7	TDRD7	TDRD7	-1.160525039	5.98483533	N	34.08817152
TMOD1	TMOD1	TMOD1	TMOD1	TMOD1	-0.594373051	16.88371824	N	11.65381836
TSTD2	TSTD2	TSTD2	TSTD2	TSTD2	0.315711326	71.46495341	N	61.70199952
NCBP1	NCBP1	NCBP1	NCBP1	NCBP1	-1.119613893	6.37842218	N	23.28354613
XPA	XPA	XPA	XPA	XPA	0.51527665	81.07889101	N	31.98626837
C9orf156	C9orf156	C9orf156	C9orf156	C9orf156	-0.084968981	43.20194478	N	79.22187425
HEMGN	HEMGN	HEMGN	HEMGN	HEMGN	-0.197513786	35.67170226	N	52.60780535
ANP32B	ANP32B	ANP32B	ANP32B	ANP32B	0.221548563	65.71742779	Y	28.02336786
NANS	NANS	NANS	NANS	NANS	-0.396420408	24.5991781	N	59.16044327
TRIM14	TRIM14	TRIM14	TRIM14	TRIM14	-0.064373744	44.83996064	Unassessed	Unassessed
CORO2A	CORO2A	CORO2A	CORO2A	CORO2A	-0.14484119	39.0750709	N	68.70031318
GABBR2	GABBR2	GABBR2	GABBR2	GABBR2	-1.304341715	4.670949818	N	4.125511925
GALNT12	GALNT12	GALNT12	GALNT12	GALNT12	-0.369126321	25.91885165	N	23.56058781
TGFBR1	TGFBR1	TGFBR1	TGFBR1	TGFBR1	-0.430261371	23.14059154	N	4.95061431
ALG2	ALG2	ALG2	ALG2	ALG2	0.120481978	58.76598947	N	65.60467357
SEC61B	SEC61B	SEC61B	SEC61B	SEC61B	0.031100532	51.89558372	Y	4.854251987
NR4A3	NR4A3	NR4A3	NR4A3	NR4A3	-0.085925845	43.1209122	Y	23.75331245
STX17	STX17	STX17	STX17	STX17	0.304231467	70.75881229	Y	34.60611901
INVS	INVS	INVS	INVS	INVS	-0.283422834	30.45667651	N	57.10069863
TEX10	TEX10	TEX10	TEX10	TEX10	-0.953425857	8.682062858	N	49.96988677
MSANTD3	MSANTD3	MSANTD3	MSANTD3	MSANTD3	-0.007220243	48.88580193	Y	8.178752108
TMEFF1	TMEFF1	TMEFF1	TMEFF1	TMEFF1	-0.099170261	42.1543092	Y	33.31727295
LPPR1	LPPR1	LPPR1	LPPR1	LPPR1	-0.589741923	17.07472362	N	9.883160684
BAAT	BAAT	BAAT	BAAT	BAAT	-0.059589522	45.15830295	N	51.15634787
MRPL50	MRPL50	MRPL50	MRPL50	MRPL50	0.550880798	82.46802107	Y	60.34088172
ZNF189	ZNF189	ZNF189	ZNF189	ZNF189	-0.380305159	25.44423222	N	60.77451217
ALDOB	ALDOB	ALDOB	ALDOB	ALDOB	-0.044583575	46.25803091	N	76.46350277
TMEM246	TMEM246	TMEM246	TMEM246	TMEM246	-0.002436163	49.25623662	N	22.22356059
GRIN3A	GRIN3A	GRIN3A	GRIN3A	GRIN3A	-0.167049899	37.59333218	N	24.60852807
PPP3R2	PPP3R2	PPP3R2	PPP3R2	PPP3R2	0.444878869	78.09226139	Y	40.74921706
NIPSNAP3A	NIPSNAP3A	NIPSNAP3A	NIPSNAP3A	NIPSNAP3A	0.463710367	79.01834809	N	50.87930619
NIPSNAP3B	NIPSNAP3B	NIPSNAP3B	NIPSNAP3B	NIPSNAP3B	0.857710008	90.32239393	N	80.04095399
ABCA1	ABCA1	ABCA1	ABCA1	ABCA1	-1.671315318	2.558314522	N	20.6636955
SLC44A1	SLC44A1	SLC44A1	SLC44A1	SLC44A1	-0.376629375	25.62366152	N	44.14598892
FKTN	FKTN	FKTN	FKTN	FKTN	0.029489373	51.73930659	N	70.94073717
TAL2	TAL2	TAL2	TAL2	TAL2	0.570522981	83.06997743	Y	37.00915442
TMEM38B	TMEM38B	TMEM38B	TMEM38B	TMEM38B	0.063177242	54.40180587	N	85.19031559
RAD23B	RAD23B	RAD23B	RAD23B	RAD23B	-0.26327977	31.63743706	N	18.57986027
KLF4	KLF4	KLF4	KLF4	KLF4	-0.167501818	37.55860392	N	21.40448085
ACTL7B	ACTL7B	ACTL7B	ACTL7B	ACTL7B	-0.822189382	11.12461654	N	97.60298723
ACTL7A	ACTL7A	ACTL7A	ACTL7A	ACTL7A	0.294159089	70.15106789	N	79.64345941
IKBKAP	IKBKAP	IKBKAP	IKBKAP	IKBKAP	0.582784264	83.5909012	N	69.26644182
FAM206A	FAM206A	FAM206A	FAM206A	FAM206A	0.36138737	73.96538751	N	97.36810407
CTNNAL1	CTNNAL1	CTNNAL1	CTNNAL1	CTNNAL1	0.210669154	65.1386236	N	87.36449048
PTPN3	PTPN3	PTPN3	PTPN3	PTPN3	-0.576050113	17.47988655	N	22.7716213
LPAR1	LPAR1	LPAR1	LPAR1	LPAR1	-0.316758145	28.47137813	N	14.50252951
OR2K2	OR2K2	OR2K2	OR2K2	OR2K2	0.058544531	53.99664294	N	42.6222597
PTGR1	PTGR1	PTGR1	PTGR1	PTGR1	0.025662211	51.48463275	N	72.04890388
C9orf84	C9orf84	C9orf84	C9orf84	C9orf84	0.608004798	84.38965098	N	81.63695495
UGCG	UGCG	UGCG	UGCG	UGCG	-0.425630209	23.29686867	Y	27.83666586
SUSD1	SUSD1	SUSD1	SUSD1	SUSD1	-0.154106795	38.46153846	N	56.2033245
PTBP3	PTBP3	PTBP3	PTBP3	PTBP3	-0.446070878	22.45181455	N	24.83136594
INIP	INIP	INIP	INIP	INIP	0.091125502	56.52022921	Y	33.63647314
SLC46A2	SLC46A2	SLC46A2	SLC46A2	SLC46A2	0.497698833	80.36696186	N	52.33076367
ZFP37	ZFP37	ZFP37	ZFP37	ZFP37	-0.037885915	46.7268623	N	97.39219465
SLC31A2	SLC31A2	SLC31A2	SLC31A2	SLC31A2	0.495489526	80.30908144	Y	28.58347386
SLC31A1	SLC31A1	SLC31A1	SLC31A1	SLC31A1	-0.094538075	42.4726515	Y	6.396049145
CDC26	CDC26	CDC26	CDC26	CDC26	0.25810805	67.9284598	Y	99.34955432
PRPF4	PRPF4	PRPF4	PRPF4	PRPF4	-0.502420818	20.06714129	N	36.55745603
WDR31	WDR31	WDR31	WDR31	WDR31	-0.169415642	37.44284309	N	54.95663695
HDHD3	HDHD3	HDHD3	HDHD3	HDHD3	0.35116309	73.45025178	N	73.62683691
ALAD	ALAD	ALAD	ALAD	ALAD	0.065090757	54.56387104	N	15.32160925
POLE3	POLE3	POLE3	POLE3	POLE3	0.230008154	66.23835157	Y	18.45940737
C9orf43	C9orf43	C9orf43	C9orf43	C9orf43	0.427300457	77.23563119	N	64.83377499
RGS3	RGS3	RGS3	RGS3	RGS3	0.772463095	88.61492157	N	56.38400385
AMBP	AMBP	AMBP	AMBP	AMBP	0.183376188	63.43115124	N	57.55239701
KIF12	KIF12	KIF12	KIF12	KIF12	0.086794166	56.20767494	N	81.03469044
COL27A1	COL27A1	COL27A1	COL27A1	COL27A1	1.345290051	96.07570759	N	47.6391231
ORM1	ORM1	ORM1	ORM1	ORM1	0.744201416	87.96666088	N	19.31462298
ORM2	ORM2	ORM2	ORM2	ORM2	1.032206482	93.17589859	N	54.69164057
AKNA	AKNA	AKNA	AKNA	AKNA	0.994876835	92.7070672	N	59.08214888
DFNB31	DFNB31	DFNB31	DFNB31	DFNB31	1.63524758	97.66163107	N	84.55793785
C9orf91	C9orf91	C9orf91	C9orf91	C9orf91	0.253623009	67.679574	N	70.82028427
TNFSF15	TNFSF15	TNFSF15	TNFSF15	TNFSF15	-0.000674037	49.38936158	Y	74.36762226
TNFSF8	TNFSF8	TNFSF8	TNFSF8	TNFSF8	0.044344174	52.90849106	Y	61.45507107
TNC	TNC	TNC	TNC	TNC	0.97893651	92.47554552	N	51.86099735
DEC1	DEC1	DEC1	DEC1	DEC1	0.372568852	74.5441917	Y	18.44133944
PAPPA	PAPPA	PAPPA	PAPPA	PAPPA	-0.932276399	8.994617121	N	32.41387617
ASTN2	ASTN2	ASTN2	ASTN2	ASTN2	-1.513115903	3.276031718	N	31.42013973
TRIM32	TRIM32	TRIM32	TRIM32	TRIM32	-0.863383269	10.30850263	N	43.20645628
TLR4	TLR4	TLR4	TLR4	TLR4	0.709856007	87.1273948	N	34.87713804
DBC1	DBC1	BRINP1	BRINP1	BRINP1	-0.751640611	12.56005093	N	30.31799566
CDK5RAP2	CDK5RAP2	CDK5RAP2	CDK5RAP2	CDK5RAP2	-0.457213975	21.97719511	N	76.33702722
PSMD5	PSMD5	PSMD5	PSMD5	PSMD5	-0.027663999	47.45615558	N	55.68537702
TRAF1	TRAF1	TRAF1	TRAF1	TRAF1	0.400964456	75.88701742	N	31.78752108
C5	C5	C5	C5	C5	-0.982899275	8.184291254	N	35.00963623
RAB14	RAB14	RAB14	RAB14	RAB14	0.053609874	53.60305609	Y	7.203083594
GSN	GSN	GSN	GSN	GSN	1.297211553	95.76894137	N	71.88629246
STOM	STOM	STOM	STOM	STOM	0.014332026	50.57012213	Y	78.31847748
DAB2IP	DAB2IP	DAB2IP	DAB2IP	DAB2IP	-0.67072861	14.73056665	N	16.20693809
NDUFA8	NDUFA8	NDUFA8	NDUFA8	NDUFA8	-0.056065882	45.38982462	Y	91.71284028
MORN5	MORN5	MORN5	MORN5	MORN5	0.119374702	58.69074492	N	53.7219947
LHX6	LHX6	LHX6	LHX6	LHX6	-0.212672702	34.75719164	Y	22.15731149
RBM18	RBM18	RBM18	RBM18	RBM18	-0.216501186	34.48515367	Y	23.05468562
MRRF	MRRF	MRRF	MRRF	MRRF	0.168219607	62.41824391	N	45.06143098
PTGS1	PTGS1	PTGS1	PTGS1	PTGS1	0.418992516	76.78416392	N	51.93326909
OR1N1	OR1N1	OR1N1	OR1N1	OR1N1	0.421560678	76.91728888	N	36.74415803
PDCL	PDCL	PDCL	PDCL	PDCL	-0.106673287	41.69126584	N	51.48759335
ZBTB6	ZBTB6	ZBTB6	ZBTB6	ZBTB6	0.037797903	52.3759912	N	33.23897856
ZBTB26	ZBTB26	ZBTB26	ZBTB26	ZBTB26	-0.658228302	15.08363721	Y	25.78896651
RABGAP1	RABGAP1	RABGAP1	RABGAP1	RABGAP1	-0.875521131	10.07119292	N	13.00891351
GPR21	GPR21	GPR21	GPR21	GPR21	-0.535305023	18.7706199	N	84.32907733
STRBP	STRBP	STRBP	STRBP	STRBP	-0.752898517	12.51953464	N	6.642977596
CRB2	CRB2	CRB2	CRB2	CRB2	0.255191834	67.76060659	N	58.52204288
LHX2	LHX2	LHX2	LHX2	LHX2	-0.248273713	32.55773572	Y	1.403276319
NEK6	NEK6	NEK6	NEK6	NEK6	-0.339267298	27.29640563	N	5.552878824
PSMB7	PSMB7	PSMB7	PSMB7	PSMB7	-0.114176312	41.19928228	Y	99.17489762
NR5A1	NR5A1	NR5A1	NR5A1	NR5A1	-0.580323987	17.36991376	N	9.666345459
OLFML2A	OLFML2A	OLFML2A	OLFML2A	OLFML2A	0.986682536	92.61445853	N	53.02336786
RPL35	RPL35	RPL35	RPL35	RPL35	0.033014066	52.06922498	Y	3.258251024
ARPC5L	ARPC5L	ARPC5L	ARPC5L	ARPC5L	-0.043930449	46.31591133	Y	3.414839798
GOLGA1	GOLGA1	GOLGA1	GOLGA1	GOLGA1	-0.295858114	29.68686693	N	58.17272946
PPP6C	PPP6C	PPP6C	PPP6C	PPP6C	-0.242684848	32.87607802	N	4.535051795
RABEPK	RABEPK	RABEPK	RABEPK	RABEPK	0.68991226	86.66435145	N	83.67863166
HSPA5	HSPA5	HSPA5	HSPA5	HSPA5	-0.540893662	18.52752214	N	3.7219947
MAPKAP1	MAPKAP1	MAPKAP1	MAPKAP1	MAPKAP1	-0.320432866	28.29194883	N	12.67766803
PBX3	PBX3	PBX3	PBX3	PBX3	-0.535305023	18.7706199	Y	28.35461335
LMX1B	LMX1B	LMX1B	LMX1B	LMX1B	-0.685368969	14.36592001	N	4.035172248
ZBTB43	ZBTB43	ZBTB43	ZBTB43	ZBTB43	-0.268868697	31.33645888	N	12.89448326
ANGPTL2	ANGPTL2	ANGPTL2	ANGPTL2	ANGPTL2	-0.861620382	10.35480697	N	32.70898579
GARNL3	GARNL3	GARNL3	GARNL3	GARNL3	-1.07429771	6.870405742	N	27.61382799
SLC2A8	SLC2A8	SLC2A8	SLC2A8	SLC2A8	0.467536051	79.21514152	Unassessed	Unassessed
ZNF79	ZNF79	ZNF79	ZNF79	ZNF79	-0.100780094	42.06170053	N	54.32425921
RPL12	RPL12	RPL12	RPL12	RPL12	0.010504826	50.32702437	Y	5.860033727
LRSAM1	LRSAM1	LRSAM1	LRSAM1	LRSAM1	0.303729111	70.73566013	N	47.74753072
STXBP1	STXBP1	STXBP1	STXBP1	STXBP1	-0.709793585	13.64241477	N	4.33028186
TTC16	TTC16	TTC16	TTC16	TTC16	2.166194439	98.80766337	N	68.96530956
TOR2A	TOR2A	TOR2A	TOR2A	TOR2A	0.019116005	51.00422527	N	81.6971814
SH2D3C	SH2D3C	SH2D3C	SH2D3C	SH2D3C	-0.113721602	41.21664641	N	32.6306914
CDK9	CDK9	CDK9	CDK9	CDK9	-0.97432786	8.311628176	N	4.655504698
ENG	ENG	ENG	ENG	ENG	-0.281808799	30.56086126	N	33.4979523
AK1	AK1	AK1	AK1	AK1	0.141883914	60.31139665	N	26.98145025
ST6GALNAC6	ST6GALNAC6	ST6GALNAC6	ST6GALNAC6	ST6GALNAC6	0.179549296	63.17068936	N	25.44567574
ST6GALNAC4	ST6GALNAC4	ST6GALNAC4	ST6GALNAC4	ST6GALNAC4	-0.175961714	36.99716386	N	7.178993014
DPM2	DPM2	DPM2	DPM2	DPM2	0.372568852	74.5441917	Y	53.32450012
FAM102A	FAM102A	FAM102A	FAM102A	FAM102A	-0.627257916	15.94605545	N	20.43483498
NAIF1	NAIF1	NAIF1	NAIF1	NAIF1	-0.141317516	39.35289691	Y	15.45410744
SLC25A25	SLC25A25	SLC25A25	SLC25A25	SLC25A25	-1.493861919	3.414944724	N	34.97350036
PTGES2	PTGES2	PTGES2	PTGES2	PTGES2	-0.15536658	38.37471783	N	41.56227415
LCN2	LCN2	LCN2	LCN2	LCN2	0.803273327	89.20530185	N	97.16935678
C9orf16	C9orf16	C9orf16	C9orf16	C9orf16	0.151150685	61.04647798	N	Unassessed
CIZ1	CIZ1	CIZ1	CIZ1	CIZ1	0.079442861	55.64623488	N	48.97012768
DNM1	DNM1	DNM1	DNM1	DNM1	-0.568034909	17.71140823	N	14.46639364
GOLGA2	GOLGA2	GOLGA2	GOLGA2	GOLGA2	0.030901164	51.86664351	N	72.89809684
TRUB2	TRUB2	TRUB2	TRUB2	TRUB2	0.506964925	80.73739654	N	74.95784148
COQ4	COQ4	COQ4	COQ4	COQ4	0.358666204	73.88435492	N	58.04023127
SLC27A4	SLC27A4	SLC27A4	SLC27A4	SLC27A4	-1.008674634	7.761764195	N	55.51072031
URM1	URM1	URM1	URM1	URM1	-0.245556279	32.71401285	Y	12.90652855
CERCAM	CERCAM	CERCAM	CERCAM	CERCAM	0.731408503	87.61359032	N	61.7260901
ODF2	ODF2	ODF2	ODF2	ODF2	-0.181248987	36.66145743	N	45.69983137
GLE1	GLE1	GLE1	GLE1	GLE1	-0.788348833	11.78445332	N	88.68947242
SPTAN1	SPTAN1	SPTAN1	SPTAN1	SPTAN1	-3.690784008	0.347282514	N	14.35798603
WDR34	WDR34	WDR34	WDR34	WDR34	-0.296814857	29.62898651	N	48.04866297
SET	SET	SET	SET	SET	0.108045035	57.83990276	Y	10.71428571
PKN3	PKN3	PKN3	PKN3	PKN3	-0.177422646	36.89297911	N	42.74873524
ZDHHC12	ZDHHC12	ZDHHC12	ZDHHC12	ZDHHC12	0.316368397	71.5054697	N	44.41700795
ZER1	ZER1	ZER1	ZER1	ZER1	-0.889720408	9.799154946	N	11.50927487
TBC1D13	TBC1D13	TBC1D13	TBC1D13	TBC1D13	-0.581281335	17.35833767	N	16.07443989
C9orf114	C9orf114	C9orf114	C9orf114	C9orf114	-0.109391694	41.51183655	N	46.97663214
PHYHD1	PHYHD1	PHYHD1	PHYHD1	PHYHD1	0.633563367	85.15367251	N	64.72536738
DOLK	DOLK	DOLK	DOLK	DOLK	-0.429150862	23.17531979	N	48.65695013
SH3GLB2	SH3GLB2	SH3GLB2	SH3GLB2	SH3GLB2	-0.088796495	42.91254269	N	15.15297519
FAM73B	FAM73B	FAM73B	FAM73B	FAM73B	0.175067916	62.86971118	N	7.955914238
DOLPP1	DOLPP1	DOLPP1	DOLPP1	DOLPP1	-0.206126746	35.13920241	Y	35.46735726
CRAT	CRAT	CRAT	CRAT	CRAT	0.382434228	75.04775135	N	70.69380872
PPP2R4	PPP2R4	PPP2R4	PPP2R4	PPP2R4	-0.089753398	42.80835793	N	35.95519152
ASB6	ASB6	ASB6	ASB6	ASB6	-0.354120223	26.60762864	N	52.9751867
PRRX2	PRRX2	PRRX2	PRRX2	PRRX2	0.073399639	55.17740348	Unassessed	Unassessed
TOR1B	TOR1B	TOR1B	TOR1B	TOR1B	-0.397377504	24.54708572	N	72.35003614
TOR1A	TOR1A	TOR1A	TOR1A	TOR1A	-0.051281473	45.6908028	Y	83.51602024
C9orf78	C9orf78	C9orf78	C9orf78	C9orf78	-0.402163571	24.28662384	Y	2.607805348
NCS1	NCS1	NCS1	NCS1	NCS1	-0.013918082	48.39381837	Y	1.854974705
ASS1	ASS1	ASS1	ASS1	ASS1	-0.437610849	22.86276553	N	59.55793785
PRDM12	PRDM12	PRDM12	PRDM12	PRDM12	-0.387157394	25.09116166	Unassessed	Unassessed
EXOSC2	EXOSC2	EXOSC2	EXOSC2	EXOSC2	-0.172286507	37.23447358	N	46.26596001
QRFP	QRFP	QRFP	QRFP	QRFP	1.113793511	94.09619726	N	52.1741749
FIBCD1	FIBCD1	FIBCD1	FIBCD1	FIBCD1	0.774362215	88.6322857	Unassessed	Unassessed
LAMC3	LAMC3	LAMC3	LAMC3	LAMC3	1.91278304	98.4256526	N	68.10407131
